Value for threshold delta,"COUNTING mit Epsilon=0.01,COUNTING mit Epsilon=0.001,COUNTING mit Epsilon=0.00010"
0.98810,"4,4,4"
0.98820,"4,4,4"
0.98830,"4,4,4"
0.98840,"4,4,4"
0.98850,"4,4,4"
0.98860,"4,4,4"
0.98870,"4,4,4"
0.98880,"4,4,4"
0.98890,"4,4,4"
0.98900,"4,4,4"
0.98910,"4,4,4"
0.98920,"4,4,4"
0.98930,"4,4,4"
0.98940,"4,4,4"
0.98950,"4,4,4"
0.98960,"4,4,4"
0.98970,"4,4,4"
0.98980,"4,4,4"
0.98990,"4,4,4"
0.99000,"4,4,4"
0.99010,"4,4,4"
0.99020,"4,4,4"
0.99030,"4,4,4"
0.99040,"4,4,4"
0.99050,"4,4,4"
0.99060,"4,4,4"
0.99070,"4,4,4"
0.99080,"4,4,4"
0.99090,"4,4,4"
0.99100,"4,4,4"
0.99110,"4,4,4"
0.99120,"4,4,4"
0.99130,"4,4,4"
0.99140,"4,4,4"
0.99150,"4,4,4"
0.99160,"4,4,4"
0.99170,"4,4,4"
0.99180,"4,4,4"
0.99190,"4,4,4"
0.99200,"4,4,4"
0.99210,"4,4,4"
0.99220,"4,4,4"
0.99230,"4,4,4"
0.99240,"4,4,4"
0.99250,"4,4,4"
0.99260,"4,4,4"
0.99270,"4,4,4"
0.99280,"4,4,4"
0.99290,"4,4,4"
0.99300,"4,4,4"
0.99310,"4,4,4"
0.99320,"4,4,4"
0.99330,"4,4,4"
0.99340,"4,4,4"
0.99350,"4,4,4"
0.99360,"4,4,4"
0.99370,"4,4,4"
0.99380,"4,4,4"
0.99390,"7,7,7"
0.99400,"7,7,7"
0.99410,"7,7,7"
0.99420,"7,7,7"
0.99430,"7,7,7"
0.99440,"7,7,7"
0.99450,"7,7,7"
0.99460,"7,7,7"
0.99470,"7,7,7"
0.99480,"7,7,7"
0.99490,"7,7,7"
0.99500,"7,7,7"
0.99510,"7,7,7"
0.99520,"7,7,7"
0.99530,"7,7,7"
0.99540,"7,7,7"
0.99550,"7,7,7"
0.99560,"7,7,7"
0.99570,"7,7,7"
0.99580,"7,7,7"
0.99590,"7,7,7"
0.99600,"7,7,7"
0.99610,"7,7,7"
0.99620,"7,7,7"
0.99630,"7,7,7"
0.99640,"7,7,7"
0.99650,"7,7,7"
0.99660,"7,7,7"
0.99670,"7,7,7"
0.99680,"7,7,7"
0.99690,"7,7,7"
0.99700,"7,7,7"
0.99710,"7,7,7"
0.99720,"7,7,7"
0.99730,"7,7,7"
0.99740,"7,7,7"
0.99750,"7,7,7"
0.99760,"7,7,7"
0.99770,"7,7,7"
0.99780,"7,7,7"
0.99790,"7,7,7"
0.99800,"7,7,7"
0.99810,"7,7,7"
0.99820,"7,7,7"
0.99830,"7,7,7"
0.99840,"7,7,7"
0.99850,"7,7,7"
0.99860,"7,7,7"
0.99870,"7,7,7"
0.99880,"7,7,7"
0.99890,"7,7,7"
0.99900,"7,7,7"
0.99910,"7,7,7"
0.99920,"7,7,7"
0.99930,"7,7,7"
0.99940,"7,7,7"
0.99950,"7,7,7"
0.99960,"7,7,7"
0.99970,"7,7,7"
0.99980,"7,7,7"
0.99990,"7,7,7"
1.00000,"9,9,9"
