Value for threshold delta;MAX with Epsilon=0.01;MAX with Epsilon=0.001;MAX with Epsilon=0.00010;MAX with Epsilon=0.000010
0.60560;6;6;6;6
0.60570;6;6;6;6
0.60580;6;6;6;6
0.60590;6;6;6;6
0.60600;6;6;6;6
0.60610;6;6;6;6
0.60620;6;6;6;6
0.60630;6;6;6;6
0.60640;6;6;6;6
0.60650;6;6;6;6
0.60660;6;6;6;6
0.60670;6;6;6;6
0.60680;6;6;6;6
0.60690;6;6;6;6
0.60700;6;6;6;6
0.60710;6;6;6;6
0.60720;6;6;6;6
0.60730;6;6;6;6
0.60740;6;6;6;6
0.60750;6;6;6;6
0.60760;6;6;6;6
0.60770;6;6;6;6
0.60780;6;6;6;6
0.60790;6;6;6;6
0.60800;6;6;6;6
0.60810;6;6;6;6
0.60820;6;6;6;6
0.60830;6;6;6;6
0.60840;6;6;6;6
0.60850;6;6;6;6
0.60860;6;6;6;6
0.60870;6;6;6;6
0.60880;6;6;6;6
0.60890;6;6;6;6
0.60900;6;6;6;6
0.60910;6;6;6;6
0.60920;6;6;6;6
0.60930;6;6;6;6
0.60940;6;6;6;6
0.60950;6;6;6;6
0.60960;6;6;6;6
0.60970;6;6;6;6
0.60980;6;6;6;6
0.60990;6;6;6;6
0.61000;6;6;6;6
0.61010;6;6;6;6
0.61020;6;6;6;6
0.61030;6;6;6;6
0.61040;6;6;6;6
0.61050;6;6;6;6
0.61060;6;6;6;6
0.61070;6;6;6;6
0.61080;6;6;6;6
0.61090;6;6;6;6
0.61100;6;6;6;6
0.61110;6;6;6;6
0.61120;6;6;6;6
0.61130;6;6;6;6
0.61140;6;6;6;6
0.61150;6;6;6;6
0.61160;6;6;6;6
0.61170;6;6;6;6
0.61180;6;6;6;6
0.61190;6;6;6;6
0.61200;6;6;6;6
0.61210;6;6;6;6
0.61220;6;6;6;6
0.61230;6;6;6;6
0.61240;6;6;6;6
0.61250;6;6;6;6
0.61260;6;6;6;6
0.61270;6;6;6;6
0.61280;6;6;6;6
0.61290;6;6;6;6
0.61300;6;6;6;6
0.61310;6;6;6;6
0.61320;6;6;6;6
0.61330;6;6;6;6
0.61340;6;6;6;6
0.61350;6;6;6;6
0.61360;6;6;6;6
0.61370;6;6;6;6
0.61380;6;6;6;6
0.61390;6;6;6;6
0.61400;6;6;6;6
0.61410;6;6;6;6
0.61420;6;6;6;6
0.61430;6;6;6;6
0.61440;6;6;6;6
0.61450;6;6;6;6
0.61460;6;6;6;6
0.61470;6;6;6;6
0.61480;6;6;6;6
0.61490;6;6;6;6
0.61500;6;6;6;6
0.61510;6;6;6;6
0.61520;6;6;6;6
0.61530;6;6;6;6
0.61540;8;8;8;8
0.61550;8;8;8;8
0.61560;8;8;8;8
0.61570;8;8;8;8
0.61580;8;8;8;8
0.61590;8;8;8;8
0.61600;8;8;8;8
0.61610;8;8;8;8
0.61620;8;8;8;8
0.61630;8;8;8;8
0.61640;8;8;8;8
0.61650;8;8;8;8
0.61660;8;8;8;8
0.61670;8;8;8;8
0.61680;8;8;8;8
0.61690;8;8;8;8
0.61700;8;8;8;8
0.61710;8;8;8;8
0.61720;8;8;8;8
0.61730;8;8;8;8
0.61740;8;8;8;8
0.61750;8;8;8;8
0.61760;8;8;8;8
0.61770;8;8;8;8
0.61780;8;8;8;8
0.61790;8;8;8;8
0.61800;8;8;8;8
0.61810;8;8;12;12
0.61820;8;12;12;12
0.61830;8;12;12;12
0.61840;8;12;12;12
0.61850;8;12;12;12
0.61860;8;12;12;12
0.61870;8;12;12;12
0.61880;8;12;12;12
0.61890;8;12;12;12
0.61900;8;12;12;12
0.61910;7;7;7;7
0.61920;7;7;7;7
0.61930;7;7;7;7
0.61940;7;7;7;7
0.61950;7;7;7;7
0.61960;7;7;7;7
0.61970;7;7;7;7
0.61980;7;7;7;7
0.61990;7;7;7;7
0.62000;7;7;7;7
0.62010;7;7;7;7
0.62020;7;7;7;7
0.62030;7;7;7;7
0.62040;7;7;7;7
0.62050;7;7;7;7
0.62060;7;7;7;7
0.62070;7;7;7;7
0.62080;7;7;7;7
0.62090;7;7;7;7
0.62100;7;7;7;7
0.62110;7;7;7;7
0.62120;7;7;7;7
0.62130;7;7;7;7
0.62140;7;7;7;7
0.62150;7;7;7;7
0.62160;7;7;7;7
0.62170;7;7;7;7
0.62180;7;7;7;7
0.62190;7;7;7;7
0.62200;7;7;7;7
0.62210;7;7;7;7
0.62220;7;7;7;7
0.62230;7;7;7;7
0.62240;7;7;7;7
0.62250;7;7;7;7
0.62260;7;7;7;7
0.62270;7;7;7;7
0.62280;7;7;7;7
0.62290;7;7;7;7
0.62300;7;7;7;7
0.62310;7;7;7;7
0.62320;7;7;7;7
0.62330;7;7;7;7
0.62340;7;7;7;7
0.62350;7;7;7;7
0.62360;7;7;7;7
0.62370;7;7;7;7
0.62380;7;7;7;7
0.62390;7;7;7;7
0.62400;7;7;7;7
0.62410;7;7;7;7
0.62420;7;7;7;7
0.62430;7;7;7;7
0.62440;7;7;7;7
0.62450;7;7;7;7
0.62460;7;7;7;7
0.62470;7;7;7;7
0.62480;7;7;7;7
0.62490;7;7;7;7
0.62500;7;7;7;7
0.62510;7;7;7;7
0.62520;7;7;7;7
0.62530;7;7;7;7
0.62540;7;7;7;7
0.62550;7;7;7;7
0.62560;7;7;7;7
0.62570;7;7;7;7
0.62580;7;7;7;7
0.62590;7;7;7;7
0.62600;7;7;7;7
0.62610;7;7;7;7
0.62620;7;7;7;7
0.62630;7;7;7;7
0.62640;7;7;7;7
0.62650;7;7;7;7
0.62660;7;7;7;7
0.62670;7;7;7;7
0.62680;7;7;7;7
0.62690;7;7;7;7
0.62700;7;7;7;7
0.62710;7;7;7;7
0.62720;7;7;7;7
0.62730;7;7;7;7
0.62740;7;7;7;7
0.62750;7;7;7;7
0.62760;7;7;7;7
0.62770;7;7;7;7
0.62780;7;7;7;7
0.62790;7;7;7;7
0.62800;7;7;7;7
0.62810;7;7;7;7
0.62820;7;7;7;7
0.62830;7;7;7;7
0.62840;7;7;7;7
0.62850;7;7;7;7
0.62860;7;7;7;7
0.62870;7;7;7;7
0.62880;7;7;7;7
0.62890;7;7;7;7
0.62900;7;7;7;7
0.62910;7;7;7;7
0.62920;7;7;7;7
0.62930;7;7;7;7
0.62940;7;7;7;7
0.62950;7;7;7;7
0.62960;7;7;7;7
0.62970;7;7;7;7
0.62980;7;7;7;7
0.62990;7;7;7;7
0.63000;7;7;7;7
0.63010;7;7;7;7
0.63020;7;7;7;7
0.63030;7;7;7;7
0.63040;7;7;7;7
0.63050;7;7;7;7
0.63060;7;7;7;7
0.63070;7;7;7;7
0.63080;7;7;7;7
0.63090;7;7;7;7
0.63100;7;7;7;7
0.63110;7;7;7;7
0.63120;7;7;7;7
0.63130;7;7;7;7
0.63140;7;7;7;7
0.63150;7;7;7;7
0.63160;7;7;7;7
0.63170;7;7;7;7
0.63180;7;7;7;7
0.63190;7;7;7;7
0.63200;7;7;7;7
0.63210;7;7;7;7
0.63220;7;7;7;7
0.63230;7;7;7;7
0.63240;7;7;7;7
0.63250;7;7;7;7
0.63260;7;7;7;7
0.63270;7;7;7;7
0.63280;7;7;7;7
0.63290;7;7;7;7
0.63300;7;7;7;7
0.63310;7;7;7;7
0.63320;7;7;7;7
0.63330;7;7;7;7
0.63340;7;7;7;7
0.63350;7;7;7;7
0.63360;7;7;7;7
0.63370;7;7;7;7
0.63380;7;7;7;7
0.63390;7;7;7;7
0.63400;7;7;7;7
0.63410;7;7;7;7
0.63420;7;7;7;7
0.63430;7;7;7;7
0.63440;7;7;7;7
0.63450;7;7;7;7
0.63460;7;7;7;7
0.63470;7;7;7;7
0.63480;7;7;7;7
0.63490;7;7;7;7
0.63500;7;7;7;7
0.63510;7;7;7;7
0.63520;7;7;7;7
0.63530;7;7;7;7
0.63540;7;7;7;7
0.63550;7;7;7;7
0.63560;7;7;7;7
0.63570;7;7;7;7
0.63580;7;7;7;7
0.63590;7;7;7;7
0.63600;7;7;7;7
0.63610;7;7;7;7
0.63620;7;7;7;7
0.63630;7;7;7;7
0.63640;7;7;7;7
0.63650;7;7;7;7
0.63660;7;7;7;7
0.63670;7;7;7;7
0.63680;7;7;7;7
0.63690;7;7;7;7
0.63700;7;7;7;7
0.63710;7;7;7;7
0.63720;7;7;7;7
0.63730;7;7;7;7
0.63740;7;7;7;7
0.63750;7;7;7;7
0.63760;7;7;7;7
0.63770;7;7;7;7
0.63780;7;7;7;7
0.63790;7;7;7;7
0.63800;7;7;7;7
0.63810;7;7;7;7
0.63820;7;7;7;7
0.63830;7;7;7;7
0.63840;7;7;7;7
0.63850;7;7;7;7
0.63860;7;7;7;7
0.63870;7;7;7;7
0.63880;7;7;7;7
0.63890;7;7;7;7
0.63900;7;7;7;7
0.63910;7;7;7;7
0.63920;7;7;7;7
0.63930;7;7;7;7
0.63940;7;7;7;7
0.63950;7;7;7;7
0.63960;7;7;7;7
0.63970;7;7;7;7
0.63980;7;7;7;7
0.63990;7;7;7;7
0.64000;7;7;7;7
0.64010;7;7;7;7
0.64020;7;7;7;7
0.64030;7;7;7;7
0.64040;7;7;7;7
0.64050;7;7;7;7
0.64060;7;7;7;7
0.64070;7;7;7;7
0.64080;7;7;7;7
0.64090;7;7;7;7
0.64100;7;7;7;7
0.64110;7;7;7;7
0.64120;7;7;7;7
0.64130;7;7;7;7
0.64140;7;7;7;7
0.64150;7;7;7;7
0.64160;7;7;7;7
0.64170;7;7;7;7
0.64180;7;7;7;7
0.64190;7;7;7;7
0.64200;7;7;7;7
0.64210;7;7;7;7
0.64220;7;7;7;7
0.64230;7;7;7;7
0.64240;7;7;7;7
0.64250;7;7;7;7
0.64260;7;7;7;7
0.64270;7;7;7;7
0.64280;7;7;7;7
0.64290;7;7;7;7
0.64300;7;7;7;7
0.64310;7;7;7;7
0.64320;7;7;7;7
0.64330;7;7;7;7
0.64340;7;7;7;7
0.64350;7;7;7;7
0.64360;7;7;7;7
0.64370;7;7;7;7
0.64380;7;7;7;7
0.64390;7;7;7;7
0.64400;7;7;7;7
0.64410;7;7;7;7
0.64420;7;7;7;7
0.64430;7;7;7;7
0.64440;7;7;7;7
0.64450;7;7;7;7
0.64460;7;7;7;7
0.64470;7;7;7;7
0.64480;7;7;7;7
0.64490;7;7;7;7
0.64500;7;7;7;7
0.64510;7;7;7;7
0.64520;7;7;7;7
0.64530;7;7;7;7
0.64540;7;7;7;7
0.64550;7;7;7;7
0.64560;7;7;7;7
0.64570;7;7;7;7
0.64580;7;7;7;7
0.64590;7;7;7;7
0.64600;7;7;7;7
0.64610;7;7;7;7
0.64620;7;7;7;7
0.64630;7;7;7;7
0.64640;7;7;7;7
0.64650;7;7;7;7
0.64660;7;7;7;7
0.64670;7;7;7;7
0.64680;7;7;7;7
0.64690;7;7;7;7
0.64700;7;7;7;7
0.64710;7;7;7;7
0.64720;7;7;7;7
0.64730;7;7;7;7
0.64740;7;7;7;7
0.64750;7;7;7;7
0.64760;7;7;7;7
0.64770;7;7;7;7
0.64780;7;7;7;7
0.64790;7;7;7;7
0.64800;7;7;7;7
0.64810;7;7;7;7
0.64820;7;7;7;7
0.64830;7;7;7;7
0.64840;7;7;7;7
0.64850;7;7;7;7
0.64860;7;7;7;7
0.64870;7;7;7;7
0.64880;7;7;7;7
0.64890;7;7;7;7
0.64900;7;7;7;7
0.64910;7;7;7;7
0.64920;7;7;7;7
0.64930;7;7;7;7
0.64940;7;7;7;7
0.64950;7;7;7;7
0.64960;7;7;7;7
0.64970;7;7;7;7
0.64980;7;7;7;7
0.64990;7;7;7;7
0.65000;7;7;7;7
0.65010;7;7;7;7
0.65020;7;7;7;7
0.65030;7;7;7;7
0.65040;7;7;7;7
0.65050;7;7;7;7
0.65060;7;7;7;7
0.65070;7;7;7;7
0.65080;7;7;7;7
0.65090;7;7;7;7
0.65100;7;7;7;7
0.65110;7;7;7;7
0.65120;7;7;7;7
0.65130;7;7;7;7
0.65140;7;7;7;7
0.65150;7;7;7;7
0.65160;7;7;7;7
0.65170;7;7;7;7
0.65180;7;7;7;7
0.65190;7;7;7;7
0.65200;7;7;7;7
0.65210;7;7;7;7
0.65220;7;7;7;7
0.65230;7;7;7;7
0.65240;7;7;7;7
0.65250;7;7;7;7
0.65260;7;7;7;7
0.65270;7;7;7;7
0.65280;7;7;7;7
0.65290;7;7;7;7
0.65300;7;7;7;7
0.65310;7;7;7;7
0.65320;7;7;7;7
0.65330;7;7;7;7
0.65340;7;7;7;7
0.65350;7;7;7;7
0.65360;7;7;7;7
0.65370;7;7;7;7
0.65380;7;7;7;7
0.65390;7;7;7;7
0.65400;7;7;7;7
0.65410;7;7;7;7
0.65420;7;7;7;7
0.65430;7;7;7;7
0.65440;7;7;7;7
0.65450;7;7;7;7
0.65460;7;7;7;7
0.65470;7;7;7;7
0.65480;7;7;7;7
0.65490;7;7;7;7
0.65500;7;7;7;7
0.65510;7;7;7;7
0.65520;7;7;7;7
0.65530;7;7;7;7
0.65540;7;7;7;7
0.65550;7;7;7;7
0.65560;7;7;7;7
0.65570;7;7;7;7
0.65580;7;7;7;7
0.65590;7;7;7;7
0.65600;7;7;7;7
0.65610;7;7;7;7
0.65620;7;7;7;7
0.65630;7;7;7;7
0.65640;7;7;7;7
0.65650;7;7;7;7
0.65660;7;7;7;7
0.65670;7;7;7;7
0.65680;7;7;7;7
0.65690;7;7;7;7
0.65700;7;7;7;7
0.65710;7;7;7;7
0.65720;7;7;7;7
0.65730;7;7;7;7
0.65740;7;7;7;7
0.65750;7;7;7;7
0.65760;7;7;7;7
0.65770;7;7;7;7
0.65780;7;7;7;7
0.65790;7;7;7;7
0.65800;7;7;7;7
0.65810;7;7;7;7
0.65820;7;7;7;7
0.65830;7;7;7;7
0.65840;7;7;7;7
0.65850;7;7;7;7
0.65860;7;7;7;7
0.65870;7;7;7;7
0.65880;7;7;7;7
0.65890;7;7;7;7
0.65900;7;7;7;7
0.65910;7;7;7;7
0.65920;7;7;7;7
0.65930;7;7;7;7
0.65940;7;7;7;7
0.65950;7;7;7;7
0.65960;7;7;7;7
0.65970;7;7;7;7
0.65980;7;7;7;7
0.65990;7;7;7;7
0.66000;7;7;7;7
0.66010;7;7;7;7
0.66020;7;7;7;7
0.66030;7;7;7;7
0.66040;7;7;7;7
0.66050;7;7;7;7
0.66060;7;7;7;7
0.66070;7;7;7;7
0.66080;7;7;7;7
0.66090;7;7;7;7
0.66100;7;7;7;7
0.66110;7;7;7;7
0.66120;7;7;7;7
0.66130;7;7;7;7
0.66140;7;7;7;7
0.66150;7;7;7;7
0.66160;7;7;7;7
0.66170;7;7;7;7
0.66180;7;7;7;7
0.66190;7;7;7;7
0.66200;7;7;7;7
0.66210;7;7;7;7
0.66220;7;7;7;7
0.66230;7;7;7;7
0.66240;7;7;7;7
0.66250;7;7;7;7
0.66260;7;7;7;7
0.66270;7;7;7;7
0.66280;7;7;7;7
0.66290;7;7;7;7
0.66300;7;7;7;7
0.66310;7;7;7;7
0.66320;7;7;7;7
0.66330;7;7;7;7
0.66340;7;7;7;7
0.66350;7;7;7;7
0.66360;7;7;7;7
0.66370;7;7;7;7
0.66380;7;7;7;7
0.66390;7;7;7;7
0.66400;7;7;7;7
0.66410;7;7;7;7
0.66420;7;7;7;7
0.66430;7;7;7;7
0.66440;7;7;7;7
0.66450;7;7;7;7
0.66460;7;7;7;7
0.66470;7;7;7;7
0.66480;7;7;7;7
0.66490;7;7;7;7
0.66500;7;7;7;7
0.66510;7;7;7;7
0.66520;7;7;7;7
0.66530;7;7;7;7
0.66540;7;7;7;7
0.66550;7;7;7;7
0.66560;7;7;7;7
0.66570;7;7;7;7
0.66580;7;7;7;7
0.66590;7;7;7;7
0.66600;7;7;7;7
0.66610;7;7;7;7
0.66620;7;7;7;7
0.66630;7;7;7;7
0.66640;7;7;7;7
0.66650;7;7;7;7
0.66660;7;7;7;7
0.66670;7;7;7;7
0.66680;7;7;7;7
0.66690;7;7;7;7
0.66700;7;7;7;7
0.66710;7;7;7;7
0.66720;7;7;7;7
0.66730;7;7;7;7
0.66740;7;7;7;7
0.66750;7;7;7;7
0.66760;7;7;7;7
0.66770;7;7;7;7
0.66780;7;7;7;7
0.66790;7;7;7;7
0.66800;7;7;7;7
0.66810;7;7;7;7
0.66820;7;7;7;7
0.66830;7;7;7;7
0.66840;7;7;7;7
0.66850;7;7;7;7
0.66860;7;7;7;7
0.66870;7;7;7;7
0.66880;7;7;7;7
0.66890;7;7;7;7
0.66900;7;7;7;7
0.66910;7;7;7;7
0.66920;7;7;7;7
0.66930;7;7;7;7
0.66940;7;7;7;7
0.66950;7;7;7;7
0.66960;7;7;7;7
0.66970;7;7;7;7
0.66980;7;7;7;7
0.66990;7;7;7;7
0.67000;7;7;7;7
0.67010;7;7;7;7
0.67020;7;7;7;7
0.67030;7;7;7;7
0.67040;7;7;7;7
0.67050;7;7;7;7
0.67060;7;7;7;7
0.67070;7;7;7;7
0.67080;7;7;7;7
0.67090;7;7;7;7
0.67100;7;7;7;7
0.67110;7;7;7;7
0.67120;7;7;7;7
0.67130;7;7;7;7
0.67140;7;7;7;7
0.67150;7;7;7;7
0.67160;7;7;7;7
0.67170;7;7;7;7
0.67180;7;7;7;7
0.67190;7;7;7;7
0.67200;7;7;7;7
0.67210;7;7;7;7
0.67220;7;7;7;7
0.67230;7;7;7;7
0.67240;7;7;7;7
0.67250;7;7;7;7
0.67260;7;7;7;7
0.67270;7;7;7;7
0.67280;7;7;7;7
0.67290;7;7;7;7
0.67300;7;7;7;7
0.67310;7;7;7;7
0.67320;7;7;7;7
0.67330;7;7;7;7
0.67340;7;7;7;7
0.67350;7;7;7;7
0.67360;7;7;7;7
0.67370;7;7;7;7
0.67380;7;7;7;7
0.67390;7;7;7;7
0.67400;7;7;7;7
0.67410;7;7;7;7
0.67420;7;7;7;7
0.67430;7;7;7;7
0.67440;7;7;7;7
0.67450;7;7;7;7
0.67460;7;7;7;7
0.67470;7;7;7;7
0.67480;7;7;7;7
0.67490;7;7;7;7
0.67500;7;7;7;7
0.67510;7;7;7;7
0.67520;7;7;7;7
0.67530;7;7;7;7
0.67540;7;7;7;7
0.67550;7;7;7;7
0.67560;7;7;7;7
0.67570;7;7;7;7
0.67580;7;7;7;7
0.67590;7;7;7;7
0.67600;7;7;7;7
0.67610;7;7;7;7
0.67620;7;7;7;7
0.67630;7;7;7;7
0.67640;7;7;7;7
0.67650;7;7;7;7
0.67660;7;7;7;7
0.67670;7;7;7;7
0.67680;7;7;7;7
0.67690;7;7;7;7
0.67700;7;7;7;7
0.67710;7;7;7;7
0.67720;7;7;7;7
0.67730;7;7;7;7
0.67740;7;7;7;7
0.67750;7;7;7;7
0.67760;7;7;7;7
0.67770;7;7;7;7
0.67780;7;7;7;7
0.67790;7;7;7;7
0.67800;7;7;7;7
0.67810;7;7;7;7
0.67820;7;7;7;7
0.67830;7;7;7;7
0.67840;7;7;7;7
0.67850;7;7;7;7
0.67860;7;7;7;7
0.67870;7;7;7;7
0.67880;7;7;7;7
0.67890;7;7;7;7
0.67900;7;7;7;7
0.67910;7;7;7;7
0.67920;7;7;7;7
0.67930;7;7;7;7
0.67940;7;7;7;7
0.67950;7;7;7;7
0.67960;7;7;7;7
0.67970;7;7;7;7
0.67980;7;7;7;7
0.67990;7;7;7;7
0.68000;7;7;7;7
0.68010;7;7;7;7
0.68020;7;7;7;7
0.68030;7;7;7;7
0.68040;7;7;7;7
0.68050;7;7;7;7
0.68060;7;7;7;7
0.68070;7;7;7;7
0.68080;7;7;7;7
0.68090;7;7;7;7
0.68100;7;7;7;7
0.68110;7;7;7;7
0.68120;7;7;7;7
0.68130;7;7;7;7
0.68140;7;7;7;7
0.68150;7;7;7;7
0.68160;7;7;7;7
0.68170;7;7;7;7
0.68180;7;7;7;7
0.68190;7;7;7;7
0.68200;7;7;7;7
0.68210;7;7;7;7
0.68220;7;7;7;7
0.68230;7;7;7;7
0.68240;7;7;7;7
0.68250;7;7;7;7
0.68260;7;7;7;7
0.68270;7;7;7;7
0.68280;7;7;7;7
0.68290;7;7;7;7
0.68300;7;7;7;7
0.68310;7;7;7;7
0.68320;7;7;7;7
0.68330;7;7;7;7
0.68340;7;7;7;7
0.68350;7;7;7;7
0.68360;7;7;7;7
0.68370;7;7;7;7
0.68380;7;7;7;7
0.68390;7;7;7;7
0.68400;7;7;7;7
0.68410;7;7;7;7
0.68420;7;7;7;7
0.68430;7;7;7;7
0.68440;7;7;7;7
0.68450;7;7;7;7
0.68460;7;7;7;7
0.68470;7;7;7;7
0.68480;7;7;7;7
0.68490;7;7;7;7
0.68500;7;7;7;7
0.68510;7;7;7;7
0.68520;7;7;7;7
0.68530;7;7;7;7
0.68540;7;7;7;7
0.68550;7;7;7;7
0.68560;7;7;7;7
0.68570;7;7;7;7
0.68580;7;7;7;7
0.68590;7;7;7;7
0.68600;7;7;7;7
0.68610;7;7;7;7
0.68620;7;7;7;7
0.68630;7;7;7;7
0.68640;7;7;7;7
0.68650;7;7;7;7
0.68660;7;7;7;7
0.68670;7;7;7;7
0.68680;7;7;7;7
0.68690;7;7;7;7
0.68700;7;7;7;7
0.68710;7;7;7;7
0.68720;7;7;7;7
0.68730;7;7;7;7
0.68740;7;7;7;7
0.68750;7;7;7;7
0.68760;7;7;7;7
0.68770;7;7;7;7
0.68780;7;7;7;7
0.68790;7;7;7;7
0.68800;7;7;7;7
0.68810;7;7;7;7
0.68820;7;7;7;7
0.68830;7;7;7;7
0.68840;7;7;7;7
0.68850;7;7;7;7
0.68860;7;7;7;7
0.68870;7;7;7;7
0.68880;7;7;7;7
0.68890;7;7;7;7
0.68900;7;7;7;7
0.68910;7;7;7;7
0.68920;7;7;7;7
0.68930;7;7;7;7
0.68940;7;7;7;7
0.68950;7;7;7;7
0.68960;7;7;7;7
0.68970;7;7;7;7
0.68980;7;7;7;7
0.68990;7;7;7;7
0.69000;7;7;7;7
0.69010;7;7;7;7
0.69020;7;7;7;7
0.69030;7;7;7;7
0.69040;7;7;7;7
0.69050;7;7;7;7
0.69060;7;7;7;7
0.69070;7;7;7;7
0.69080;7;7;7;7
0.69090;7;7;7;7
0.69100;7;7;7;7
0.69110;7;7;7;7
0.69120;7;7;7;7
0.69130;7;7;7;7
0.69140;7;7;7;7
0.69150;7;7;7;7
0.69160;7;7;7;7
0.69170;7;7;7;7
0.69180;7;7;7;7
0.69190;7;7;7;7
0.69200;7;7;7;7
0.69210;7;7;7;7
0.69220;7;7;7;7
0.69230;7;7;7;7
0.69240;7;7;7;7
0.69250;7;7;7;7
0.69260;7;7;7;7
0.69270;7;7;7;7
0.69280;7;7;7;7
0.69290;7;7;7;7
0.69300;7;7;7;7
0.69310;7;7;7;7
0.69320;7;7;7;7
0.69330;7;7;7;7
0.69340;7;7;7;7
0.69350;7;7;7;7
0.69360;7;7;7;7
0.69370;7;7;7;7
0.69380;7;7;7;7
0.69390;7;7;7;7
0.69400;7;7;7;7
0.69410;7;7;7;7
0.69420;7;7;7;7
0.69430;7;7;7;7
0.69440;7;7;7;7
0.69450;7;7;7;7
0.69460;7;7;7;7
0.69470;7;7;7;7
0.69480;7;7;7;7
0.69490;7;7;7;7
0.69500;7;7;7;7
0.69510;7;7;7;7
0.69520;7;7;7;7
0.69530;7;7;7;7
0.69540;7;7;7;7
0.69550;7;7;7;7
0.69560;7;7;7;7
0.69570;7;7;7;7
0.69580;7;7;7;7
0.69590;7;7;7;7
0.69600;7;7;7;7
0.69610;7;7;7;7
0.69620;7;7;7;7
0.69630;7;7;7;7
0.69640;7;7;7;7
0.69650;7;7;7;7
0.69660;7;7;7;7
0.69670;7;7;7;7
0.69680;7;7;7;7
0.69690;7;7;7;7
0.69700;7;7;7;7
0.69710;7;7;7;7
0.69720;7;7;7;7
0.69730;7;7;7;7
0.69740;7;7;7;7
0.69750;7;7;7;7
0.69760;7;7;7;7
0.69770;7;7;7;7
0.69780;7;7;7;7
0.69790;7;7;7;7
0.69800;7;7;7;7
0.69810;7;7;7;7
0.69820;7;7;7;7
0.69830;7;7;7;7
0.69840;7;7;7;7
0.69850;7;7;7;7
0.69860;7;7;7;7
0.69870;7;7;7;7
0.69880;7;7;7;7
0.69890;7;7;7;7
0.69900;7;7;7;7
0.69910;7;7;7;7
0.69920;7;7;7;7
0.69930;7;7;7;7
0.69940;7;7;7;7
0.69950;7;7;7;7
0.69960;7;7;7;7
0.69970;7;7;7;7
0.69980;7;7;7;7
0.69990;7;7;7;7
0.70000;7;7;7;7
0.70010;7;7;7;7
0.70020;7;7;7;7
0.70030;7;7;7;7
0.70040;7;7;7;7
0.70050;7;7;7;7
0.70060;7;7;7;7
0.70070;7;7;7;7
0.70080;7;7;7;7
0.70090;7;7;7;7
0.70100;7;7;7;7
0.70110;7;7;7;7
0.70120;7;7;7;7
0.70130;7;7;7;7
0.70140;7;7;7;7
0.70150;7;7;7;7
0.70160;7;7;7;7
0.70170;7;7;7;7
0.70180;7;7;7;7
0.70190;7;7;7;7
0.70200;7;7;7;7
0.70210;7;7;7;7
0.70220;7;7;7;7
0.70230;7;7;7;7
0.70240;7;7;7;7
0.70250;7;7;7;7
0.70260;7;7;7;7
0.70270;7;7;7;7
0.70280;7;7;7;7
0.70290;7;7;7;7
0.70300;7;7;7;7
0.70310;7;7;7;7
0.70320;7;7;7;7
0.70330;7;7;7;7
0.70340;7;7;7;7
0.70350;7;7;7;7
0.70360;7;7;7;7
0.70370;7;7;7;7
0.70380;7;7;7;7
0.70390;7;7;7;7
0.70400;7;7;7;7
0.70410;7;7;7;7
0.70420;7;7;7;7
0.70430;7;7;7;7
0.70440;7;7;7;7
0.70450;7;7;7;7
0.70460;7;7;7;7
0.70470;7;7;7;7
0.70480;7;7;7;7
0.70490;7;7;7;7
0.70500;7;7;7;7
0.70510;7;7;7;7
0.70520;7;7;7;7
0.70530;7;7;7;7
0.70540;7;7;7;7
0.70550;7;7;7;7
0.70560;7;7;7;7
0.70570;7;7;7;7
0.70580;7;7;7;7
0.70590;7;7;7;7
0.70600;7;7;7;7
0.70610;7;7;7;7
0.70620;7;7;7;7
0.70630;7;7;7;7
0.70640;7;7;7;7
0.70650;7;7;7;7
0.70660;7;7;7;7
0.70670;7;7;7;7
0.70680;7;7;7;7
0.70690;7;7;7;7
0.70700;7;7;7;7
0.70710;7;7;7;7
0.70720;7;7;7;7
0.70730;7;7;7;7
0.70740;7;7;7;7
0.70750;7;7;7;7
0.70760;7;7;7;7
0.70770;7;7;7;7
0.70780;7;7;7;7
0.70790;7;7;7;7
0.70800;7;7;7;7
0.70810;7;7;7;7
0.70820;7;7;7;7
0.70830;7;7;7;7
0.70840;7;7;7;7
0.70850;7;7;7;7
0.70860;7;7;7;7
0.70870;7;7;7;7
0.70880;7;7;7;7
0.70890;7;7;7;7
0.70900;7;7;7;7
0.70910;7;7;7;7
0.70920;7;7;7;7
0.70930;7;7;7;7
0.70940;7;7;7;7
0.70950;7;7;7;7
0.70960;7;7;7;7
0.70970;7;7;7;7
0.70980;7;7;7;7
0.70990;7;7;7;7
0.71000;7;7;7;7
0.71010;7;7;7;7
0.71020;7;7;7;7
0.71030;7;7;7;7
0.71040;7;7;7;7
0.71050;7;7;7;7
0.71060;7;7;7;7
0.71070;7;7;7;7
0.71080;7;7;7;7
0.71090;7;7;7;7
0.71100;7;7;7;7
0.71110;7;7;7;7
0.71120;7;7;7;7
0.71130;7;7;7;7
0.71140;7;7;7;7
0.71150;7;7;7;7
0.71160;7;7;7;7
0.71170;7;7;7;7
0.71180;7;7;7;7
0.71190;7;7;7;7
0.71200;7;7;7;7
0.71210;7;7;7;7
0.71220;7;7;7;7
0.71230;7;7;7;7
0.71240;7;7;7;7
0.71250;7;7;7;7
0.71260;7;7;7;7
