Value for threshold delta;hCat with Epsilon=0.01;hCat with Epsilon=0.001;hCat with Epsilon=0.00010;hCat with Epsilon=0.000010
0.68830;4;4;4;4
0.68840;4;4;4;4
0.68850;4;4;4;4
0.68860;4;4;4;4
0.68870;4;4;4;4
0.68880;4;4;4;4
0.68890;4;4;4;4
0.68900;4;4;4;4
0.68910;4;4;4;4
0.68920;4;4;4;4
0.68930;4;4;4;4
0.68940;4;4;4;4
0.68950;4;4;4;4
0.68960;4;4;4;4
0.68970;4;4;4;4
0.68980;4;4;4;4
0.68990;4;4;4;4
0.69000;4;4;4;4
0.69010;4;4;4;4
0.69020;4;4;4;4
0.69030;4;4;4;4
0.69040;4;4;4;4
0.69050;4;4;4;4
0.69060;4;4;4;4
0.69070;4;4;4;4
0.69080;4;4;4;4
0.69090;4;4;4;4
0.69100;4;4;4;4
0.69110;4;4;4;4
0.69120;4;4;4;4
0.69130;4;4;4;4
0.69140;4;4;4;4
0.69150;4;4;4;4
0.69160;4;4;4;4
0.69170;4;4;4;4
0.69180;4;4;4;4
0.69190;4;4;4;4
0.69200;4;4;4;4
0.69210;4;4;4;4
0.69220;4;4;4;4
0.69230;4;4;4;4
0.69240;4;4;4;4
0.69250;4;4;4;4
0.69260;4;4;4;4
0.69270;4;4;4;4
0.69280;4;4;4;4
0.69290;4;4;4;4
0.69300;4;4;4;4
0.69310;4;4;4;4
0.69320;4;4;4;4
0.69330;4;4;4;4
0.69340;4;4;4;4
0.69350;4;4;4;4
0.69360;4;4;4;4
0.69370;4;4;4;4
0.69380;4;4;4;4
0.69390;4;4;4;4
0.69400;4;4;4;4
0.69410;4;4;4;4
0.69420;4;4;4;4
0.69430;4;4;4;4
0.69440;4;4;4;4
0.69450;4;4;4;4
0.69460;4;4;4;4
0.69470;4;4;4;4
0.69480;4;4;4;4
0.69490;4;4;4;4
0.69500;4;4;4;4
0.69510;4;4;4;4
0.69520;4;4;4;4
0.69530;4;4;4;4
0.69540;4;4;4;4
0.69550;4;4;4;4
0.69560;4;4;4;4
0.69570;4;4;4;4
0.69580;4;4;4;4
0.69590;4;4;4;4
0.69600;4;4;4;4
0.69610;4;4;4;4
0.69620;4;4;4;4
0.69630;4;4;4;4
0.69640;4;4;4;4
0.69650;4;4;4;4
0.69660;4;4;4;4
0.69670;4;4;4;4
0.69680;4;4;4;4
0.69690;4;4;4;4
0.69700;4;4;4;4
0.69710;4;4;4;4
0.69720;4;4;4;4
0.69730;4;4;4;4
0.69740;4;4;4;4
0.69750;4;4;4;4
0.69760;4;4;4;4
0.69770;4;4;4;4
0.69780;4;4;4;4
0.69790;4;4;4;4
0.69800;4;4;4;4
0.69810;4;4;4;4
0.69820;4;4;4;4
0.69830;4;4;4;4
0.69840;4;4;4;4
0.69850;4;4;4;4
0.69860;4;4;4;4
0.69870;4;4;4;4
0.69880;4;4;4;4
0.69890;4;4;4;4
0.69900;4;4;4;4
0.69910;4;4;4;4
0.69920;4;4;4;4
0.69930;4;4;4;4
0.69940;4;4;4;4
0.69950;4;4;4;4
0.69960;4;4;4;4
0.69970;4;4;4;4
0.69980;4;4;4;4
0.69990;4;4;4;4
0.70000;4;4;4;4
0.70010;4;4;4;4
0.70020;4;4;4;4
0.70030;4;4;4;4
0.70040;4;4;4;4
0.70050;4;4;4;4
0.70060;4;4;4;4
0.70070;4;4;4;4
0.70080;4;4;4;4
0.70090;4;4;4;4
0.70100;4;4;4;4
0.70110;4;4;4;4
0.70120;4;4;4;4
0.70130;4;4;4;4
0.70140;4;4;4;4
0.70150;4;4;4;4
0.70160;4;4;4;4
0.70170;4;4;4;4
0.70180;4;4;4;4
0.70190;4;4;4;4
0.70200;4;4;4;4
0.70210;4;4;4;4
0.70220;4;4;4;4
0.70230;4;4;4;4
0.70240;4;4;4;4
0.70250;4;4;4;4
0.70260;4;4;4;4
0.70270;4;4;4;4
0.70280;4;4;4;4
0.70290;4;4;4;4
0.70300;4;4;4;4
0.70310;4;4;4;4
0.70320;4;4;4;4
0.70330;4;4;4;4
0.70340;4;4;4;4
0.70350;4;4;4;4
0.70360;4;4;4;4
0.70370;4;4;4;4
0.70380;4;4;4;4
0.70390;4;4;4;4
0.70400;4;4;4;4
0.70410;4;4;4;4
0.70420;4;4;4;4
0.70430;4;4;4;4
0.70440;4;4;4;4
0.70450;4;4;4;4
0.70460;4;4;4;4
0.70470;4;4;4;4
0.70480;4;4;4;4
0.70490;4;4;4;4
0.70500;4;4;4;4
0.70510;4;4;4;4
0.70520;4;4;4;4
0.70530;4;4;4;4
0.70540;4;4;4;4
0.70550;4;4;4;4
0.70560;4;4;4;4
0.70570;4;4;4;4
0.70580;4;4;4;4
0.70590;4;4;4;4
0.70600;4;4;4;4
0.70610;4;4;4;4
0.70620;4;4;4;4
0.70630;4;4;4;4
0.70640;4;4;4;4
0.70650;4;4;4;4
0.70660;4;4;4;4
0.70670;4;4;4;4
0.70680;4;4;4;4
0.70690;4;4;4;4
0.70700;4;4;4;4
0.70710;4;4;4;4
0.70720;4;4;4;4
0.70730;4;4;4;4
0.70740;4;4;4;4
0.70750;4;4;4;4
0.70760;4;4;4;4
0.70770;4;4;4;4
0.70780;4;4;4;4
0.70790;4;4;4;4
0.70800;4;4;4;4
0.70810;4;4;4;4
0.70820;4;4;4;4
0.70830;4;4;4;4
0.70840;4;4;4;4
0.70850;4;4;4;4
0.70860;4;4;4;4
0.70870;4;4;4;4
0.70880;4;4;4;4
0.70890;4;4;4;4
0.70900;4;4;4;4
0.70910;4;4;4;4
0.70920;4;4;4;4
0.70930;4;4;4;4
0.70940;4;4;4;4
0.70950;4;4;4;4
0.70960;4;4;4;4
0.70970;4;4;4;4
0.70980;4;4;4;4
0.70990;4;4;4;4
0.71000;4;4;4;4
0.71010;4;4;4;4
0.71020;4;4;4;4
0.71030;4;4;4;4
0.71040;4;4;4;4
0.71050;4;4;4;4
0.71060;4;4;4;4
0.71070;4;4;4;4
0.71080;4;4;4;4
0.71090;4;4;4;4
0.71100;4;4;4;4
0.71110;4;4;4;4
0.71120;4;4;4;4
0.71130;4;4;4;4
0.71140;4;4;4;4
0.71150;4;4;4;4
0.71160;4;4;4;4
0.71170;4;4;4;4
0.71180;4;4;4;4
0.71190;4;4;4;4
0.71200;4;4;4;4
0.71210;4;4;4;4
0.71220;4;4;4;4
0.71230;4;4;4;4
0.71240;4;4;4;4
0.71250;4;4;4;4
0.71260;4;4;4;4
0.71270;4;4;4;4
0.71280;4;4;4;4
0.71290;4;4;4;4
0.71300;4;4;4;4
0.71310;4;4;4;4
0.71320;4;4;4;4
0.71330;4;4;4;4
0.71340;4;4;4;4
0.71350;4;4;4;4
0.71360;4;4;4;4
0.71370;4;4;4;4
0.71380;4;4;4;4
0.71390;4;4;4;4
0.71400;4;4;4;4
0.71410;4;4;4;4
0.71420;4;4;4;4
0.71430;4;4;4;4
0.71440;4;4;4;4
0.71450;4;4;4;4
0.71460;4;4;4;4
0.71470;4;4;4;4
0.71480;4;4;4;4
0.71490;4;4;4;4
0.71500;4;4;4;4
0.71510;4;4;4;4
0.71520;4;4;4;4
0.71530;4;4;4;4
0.71540;4;4;4;4
0.71550;4;4;4;4
0.71560;4;4;4;4
0.71570;4;4;4;4
0.71580;4;4;4;4
0.71590;4;4;4;4
0.71600;4;4;4;4
0.71610;4;4;4;4
0.71620;4;4;4;4
0.71630;4;4;4;4
0.71640;4;4;4;4
0.71650;4;4;4;4
0.71660;4;4;4;4
0.71670;4;4;4;4
0.71680;4;4;4;4
0.71690;4;4;4;4
0.71700;4;4;4;4
0.71710;4;4;4;4
0.71720;4;4;4;4
0.71730;4;4;4;4
0.71740;4;4;4;4
0.71750;4;4;4;4
0.71760;4;4;4;4
0.71770;4;4;4;4
0.71780;4;4;4;4
0.71790;4;4;4;4
0.71800;4;4;4;4
0.71810;4;4;4;4
0.71820;4;4;4;4
0.71830;4;4;4;4
0.71840;4;4;4;4
0.71850;4;4;4;4
0.71860;4;4;4;4
0.71870;4;4;4;4
0.71880;4;4;4;4
0.71890;4;4;4;4
0.71900;4;4;4;4
0.71910;4;4;4;4
0.71920;4;4;4;4
0.71930;4;4;4;4
0.71940;4;4;4;4
0.71950;4;4;4;4
0.71960;4;4;4;4
0.71970;4;4;4;4
0.71980;4;4;4;4
0.71990;4;4;4;4
0.72000;4;4;4;4
0.72010;4;4;4;4
0.72020;4;4;4;4
0.72030;4;4;4;4
0.72040;4;4;4;4
0.72050;4;4;4;4
0.72060;4;4;4;4
0.72070;4;4;4;4
0.72080;4;4;4;4
0.72090;4;4;4;4
0.72100;4;4;4;4
0.72110;4;4;4;4
0.72120;4;4;4;4
0.72130;4;4;4;4
0.72140;4;4;4;4
0.72150;4;4;4;4
0.72160;4;4;4;4
0.72170;4;4;4;4
0.72180;4;4;4;4
0.72190;4;4;4;4
0.72200;4;4;4;4
0.72210;4;4;4;4
0.72220;4;4;4;4
0.72230;4;4;4;4
0.72240;4;4;4;4
0.72250;4;4;4;4
0.72260;4;4;4;4
0.72270;4;4;4;4
0.72280;4;4;4;4
0.72290;4;4;4;4
0.72300;4;4;4;4
0.72310;4;4;4;4
0.72320;4;4;4;4
0.72330;4;4;4;4
0.72340;4;4;4;4
0.72350;4;4;4;4
0.72360;4;4;4;4
0.72370;4;4;4;4
0.72380;4;4;4;4
0.72390;4;4;4;4
0.72400;4;4;4;4
0.72410;4;4;4;4
0.72420;4;4;4;4
0.72430;4;4;4;4
0.72440;4;4;4;4
0.72450;4;4;4;4
0.72460;4;4;4;4
0.72470;4;4;4;4
0.72480;4;4;4;4
0.72490;4;4;4;4
0.72500;4;4;4;4
0.72510;4;4;4;4
0.72520;4;4;4;4
0.72530;4;4;4;4
0.72540;4;4;4;4
0.72550;4;4;4;4
0.72560;4;4;4;4
0.72570;4;4;4;4
0.72580;4;4;4;4
0.72590;4;4;4;4
0.72600;4;4;4;4
0.72610;4;4;4;4
0.72620;4;4;4;4
0.72630;4;4;4;4
0.72640;4;4;4;4
0.72650;4;4;4;4
0.72660;4;4;4;4
0.72670;4;4;4;4
0.72680;4;4;4;4
0.72690;4;4;4;4
0.72700;4;4;4;4
0.72710;4;4;4;4
0.72720;4;4;4;4
0.72730;4;4;4;4
0.72740;4;4;4;4
0.72750;4;4;4;4
0.72760;4;4;4;4
0.72770;4;4;4;4
0.72780;4;4;4;4
0.72790;4;4;4;4
0.72800;4;4;4;4
0.72810;4;4;4;4
0.72820;4;4;4;4
0.72830;4;4;4;4
0.72840;4;4;4;4
0.72850;4;4;4;4
0.72860;4;4;4;4
0.72870;4;4;4;4
0.72880;4;4;4;4
0.72890;4;4;4;4
0.72900;4;4;4;4
0.72910;4;4;4;4
0.72920;4;4;4;4
0.72930;4;4;4;4
0.72940;4;4;4;4
0.72950;4;4;4;4
0.72960;4;4;4;4
0.72970;4;4;4;4
0.72980;4;4;4;4
0.72990;4;4;4;4
0.73000;4;4;4;4
0.73010;4;4;4;4
0.73020;4;4;4;4
0.73030;4;4;4;4
0.73040;4;4;4;4
0.73050;4;4;4;4
0.73060;4;4;4;4
0.73070;4;4;4;4
0.73080;4;4;4;4
0.73090;4;4;4;4
0.73100;4;4;4;4
0.73110;4;4;4;4
0.73120;4;4;4;4
0.73130;4;4;4;4
0.73140;4;4;4;4
0.73150;4;4;4;4
0.73160;4;4;4;4
0.73170;4;4;4;4
0.73180;4;4;4;4
0.73190;4;4;4;4
0.73200;4;4;4;4
0.73210;4;4;4;4
0.73220;4;4;4;4
0.73230;4;4;4;4
0.73240;4;4;4;4
0.73250;4;4;4;4
0.73260;4;4;4;4
0.73270;4;4;4;4
0.73280;4;4;4;4
0.73290;4;4;4;4
0.73300;4;4;4;4
0.73310;4;4;4;4
0.73320;4;4;4;4
0.73330;4;4;4;4
0.73340;4;4;4;4
0.73350;4;4;4;4
0.73360;4;4;4;4
0.73370;4;4;4;4
0.73380;4;4;4;4
0.73390;4;4;4;4
0.73400;4;4;4;4
0.73410;4;4;4;4
0.73420;4;4;4;4
0.73430;4;4;4;4
0.73440;4;4;4;4
0.73450;4;4;4;4
0.73460;4;4;4;4
0.73470;4;4;4;4
0.73480;4;4;4;4
0.73490;4;4;4;4
0.73500;4;4;4;4
0.73510;4;4;4;4
0.73520;4;4;4;4
0.73530;4;4;4;4
0.73540;4;4;4;4
0.73550;4;4;4;4
0.73560;4;4;4;4
0.73570;4;4;4;4
0.73580;4;4;4;4
0.73590;4;4;4;4
0.73600;4;4;4;4
0.73610;4;4;4;4
0.73620;4;4;4;4
0.73630;4;4;4;4
0.73640;4;4;4;4
0.73650;4;4;4;4
0.73660;4;4;4;4
0.73670;4;4;4;4
0.73680;4;4;4;4
0.73690;4;4;4;4
0.73700;4;4;4;4
0.73710;4;4;4;4
0.73720;4;4;4;4
0.73730;4;4;4;4
0.73740;4;4;4;4
0.73750;4;4;4;4
0.73760;4;4;4;4
0.73770;4;4;4;4
0.73780;4;4;4;4
0.73790;4;4;4;4
0.73800;4;4;4;4
0.73810;4;4;4;4
0.73820;4;4;4;4
0.73830;4;4;4;4
0.73840;4;4;4;4
0.73850;4;4;4;4
0.73860;4;4;4;4
0.73870;4;4;4;4
0.73880;4;4;4;4
0.73890;4;4;4;4
0.73900;4;4;4;4
0.73910;4;4;4;4
0.73920;4;4;4;4
0.73930;4;4;4;4
0.73940;4;4;4;4
0.73950;4;4;4;4
0.73960;4;4;4;4
0.73970;4;4;4;4
0.73980;4;4;4;4
0.73990;4;4;4;4
0.74000;4;4;4;4
0.74010;4;4;4;4
0.74020;4;4;4;4
0.74030;4;4;4;4
0.74040;4;4;4;4
0.74050;4;4;4;4
0.74060;4;4;4;4
0.74070;4;4;4;4
0.74080;4;4;4;4
0.74090;4;4;4;4
0.74100;4;4;4;4
0.74110;4;4;4;4
0.74120;4;4;4;4
0.74130;4;4;4;4
0.74140;4;4;4;4
0.74150;4;4;4;4
0.74160;4;4;4;4
0.74170;4;4;4;4
0.74180;4;4;4;4
0.74190;4;4;4;4
0.74200;4;4;4;4
0.74210;4;4;4;4
0.74220;4;4;4;4
0.74230;4;4;4;4
0.74240;4;4;4;4
0.74250;4;4;4;4
0.74260;4;4;4;4
0.74270;4;4;4;4
0.74280;4;4;4;4
0.74290;4;4;4;4
0.74300;4;4;4;4
0.74310;4;4;4;4
0.74320;4;4;4;4
0.74330;4;4;4;4
0.74340;4;4;4;4
0.74350;4;4;4;4
0.74360;4;4;4;4
0.74370;4;4;4;4
0.74380;4;4;4;4
0.74390;4;4;4;4
0.74400;4;4;4;4
0.74410;4;4;4;4
0.74420;4;4;4;4
0.74430;4;4;4;4
0.74440;4;4;4;4
0.74450;4;4;4;4
0.74460;4;4;4;4
0.74470;4;4;4;4
0.74480;4;4;4;4
0.74490;4;4;4;4
0.74500;4;4;4;4
0.74510;4;4;4;4
0.74520;4;4;4;4
0.74530;4;4;4;4
0.74540;4;4;4;4
0.74550;4;4;4;4
0.74560;4;4;4;4
0.74570;4;4;4;4
0.74580;4;4;4;4
0.74590;4;4;4;4
0.74600;4;4;4;4
0.74610;4;4;4;4
0.74620;4;4;4;4
0.74630;4;4;4;4
0.74640;4;4;4;4
0.74650;4;4;4;4
0.74660;4;4;4;4
0.74670;4;4;4;4
0.74680;4;4;4;4
0.74690;4;4;4;4
0.74700;4;4;4;4
0.74710;4;4;4;4
0.74720;4;4;4;4
0.74730;4;4;4;4
0.74740;4;4;4;4
0.74750;4;4;4;4
0.74760;4;4;4;4
0.74770;4;4;4;4
0.74780;4;4;4;4
0.74790;4;4;4;4
0.74800;4;4;4;4
0.74810;4;4;4;4
0.74820;4;4;4;4
0.74830;4;4;4;4
0.74840;4;4;4;4
0.74850;4;4;4;4
0.74860;4;4;4;4
0.74870;4;4;4;4
0.74880;4;4;4;4
0.74890;4;4;4;4
0.74900;4;4;4;4
0.74910;4;4;4;4
0.74920;4;4;4;4
0.74930;4;4;4;4
0.74940;4;4;4;4
0.74950;4;4;4;4
0.74960;4;4;4;4
0.74970;4;4;4;4
0.74980;4;4;4;4
0.74990;4;4;4;4
0.75000;4;4;4;4
0.75010;4;4;4;4
0.75020;4;4;4;4
0.75030;4;4;4;4
0.75040;4;4;4;4
0.75050;4;4;4;4
0.75060;4;4;4;4
0.75070;4;4;4;4
0.75080;4;4;4;4
0.75090;4;4;4;4
0.75100;4;4;4;4
0.75110;4;4;4;4
0.75120;4;4;4;4
0.75130;4;4;4;4
0.75140;4;4;4;4
0.75150;4;4;4;4
0.75160;4;4;4;4
0.75170;4;4;4;4
0.75180;4;4;4;4
0.75190;4;4;4;4
0.75200;4;4;4;4
0.75210;4;4;4;4
0.75220;4;4;4;4
0.75230;4;4;4;4
0.75240;4;4;4;4
0.75250;4;4;4;4
0.75260;4;4;4;4
0.75270;4;4;4;4
0.75280;4;4;4;4
0.75290;4;4;4;4
0.75300;4;4;4;4
0.75310;4;4;4;4
0.75320;4;4;4;4
0.75330;4;4;4;4
0.75340;4;4;4;4
0.75350;4;4;4;4
0.75360;4;4;4;4
0.75370;4;4;4;4
0.75380;4;4;4;4
0.75390;4;4;4;4
0.75400;4;4;4;4
0.75410;4;4;4;4
0.75420;4;4;4;4
0.75430;4;4;4;4
0.75440;4;4;4;4
0.75450;4;4;4;4
0.75460;4;4;4;4
0.75470;4;4;4;4
0.75480;4;4;4;4
0.75490;4;4;4;4
0.75500;4;4;4;4
0.75510;4;4;4;4
0.75520;4;4;4;4
0.75530;4;4;4;4
0.75540;4;4;4;4
0.75550;4;4;4;4
0.75560;4;4;4;4
0.75570;4;4;4;4
0.75580;4;4;4;4
0.75590;4;4;4;4
0.75600;4;4;4;4
0.75610;4;4;4;4
0.75620;4;4;4;4
0.75630;4;4;4;4
0.75640;4;4;4;4
0.75650;4;4;4;4
0.75660;4;4;4;4
0.75670;4;4;4;4
0.75680;4;4;4;4
0.75690;4;4;4;4
0.75700;4;4;4;4
0.75710;4;4;4;4
0.75720;4;4;4;4
0.75730;4;4;4;4
0.75740;4;4;4;4
0.75750;4;4;4;4
0.75760;4;4;4;4
0.75770;4;4;4;4
0.75780;4;4;4;4
0.75790;4;4;4;4
0.75800;4;4;4;4
0.75810;4;4;4;4
0.75820;4;4;4;4
0.75830;4;4;4;4
0.75840;4;4;4;4
0.75850;4;4;4;4
0.75860;4;4;4;4
0.75870;4;4;4;4
0.75880;4;4;4;4
0.75890;4;4;4;4
0.75900;4;4;4;4
0.75910;4;4;4;4
0.75920;4;4;4;4
0.75930;4;4;4;4
0.75940;4;4;4;4
0.75950;4;4;4;4
0.75960;4;4;4;4
0.75970;4;4;4;4
0.75980;4;4;4;4
0.75990;4;4;4;4
0.76000;4;4;4;4
0.76010;4;4;4;4
0.76020;4;4;4;4
0.76030;4;4;4;4
0.76040;4;4;4;4
0.76050;4;4;4;4
0.76060;4;4;4;4
0.76070;4;4;4;4
0.76080;4;4;4;4
0.76090;4;4;4;4
0.76100;4;4;4;4
0.76110;4;4;4;4
0.76120;4;4;4;4
0.76130;4;4;4;4
0.76140;4;4;4;4
0.76150;4;4;4;4
0.76160;4;4;4;4
0.76170;4;4;4;4
0.76180;4;4;4;4
0.76190;4;4;4;4
0.76200;4;4;4;4
0.76210;4;4;4;4
0.76220;4;4;4;4
0.76230;4;4;4;4
0.76240;4;4;4;4
0.76250;4;4;4;4
0.76260;4;4;4;4
0.76270;4;4;4;4
0.76280;4;4;4;4
0.76290;4;4;4;4
0.76300;4;4;4;4
0.76310;4;4;4;4
0.76320;4;4;4;4
0.76330;4;4;4;4
0.76340;4;4;4;4
0.76350;4;4;4;4
0.76360;4;4;4;4
0.76370;4;4;4;4
0.76380;4;4;4;4
0.76390;4;4;4;4
0.76400;4;4;4;4
0.76410;4;4;4;4
0.76420;4;4;4;4
0.76430;4;4;4;4
0.76440;4;4;4;4
0.76450;4;4;4;4
0.76460;4;4;4;4
0.76470;4;4;4;4
0.76480;4;4;4;4
0.76490;4;4;4;4
0.76500;4;4;4;4
0.76510;4;4;4;4
0.76520;4;4;4;4
0.76530;4;4;4;4
0.76540;4;4;4;4
0.76550;4;4;4;4
0.76560;4;4;4;4
0.76570;4;4;4;4
0.76580;4;4;4;4
0.76590;4;4;4;4
0.76600;4;4;4;4
0.76610;4;4;4;4
0.76620;4;4;4;4
0.76630;4;4;4;4
0.76640;4;4;4;4
0.76650;4;4;4;4
0.76660;4;4;4;4
0.76670;4;4;4;4
0.76680;4;4;4;4
0.76690;4;4;4;4
0.76700;4;4;4;4
0.76710;4;4;4;4
0.76720;4;4;4;4
0.76730;4;4;4;4
0.76740;4;4;4;4
0.76750;4;4;4;4
0.76760;4;4;4;4
0.76770;4;4;4;4
0.76780;4;4;4;4
0.76790;4;4;4;4
0.76800;4;4;4;4
0.76810;4;4;4;4
0.76820;4;4;4;4
0.76830;4;4;4;4
0.76840;4;4;4;4
0.76850;4;4;4;4
0.76860;4;4;4;4
0.76870;4;4;4;4
0.76880;4;4;4;4
0.76890;4;4;4;4
0.76900;4;4;4;4
0.76910;4;4;4;4
0.76920;4;4;4;4
0.76930;4;4;4;4
0.76940;4;4;4;4
0.76950;4;4;4;4
0.76960;4;4;4;4
0.76970;4;4;4;4
0.76980;4;4;4;4
0.76990;4;4;4;4
0.77000;4;4;4;4
0.77010;4;4;4;4
0.77020;4;4;4;4
0.77030;4;4;4;4
0.77040;4;4;4;4
0.77050;4;4;4;4
0.77060;4;4;4;4
0.77070;4;4;4;4
0.77080;4;4;4;4
0.77090;4;4;4;4
0.77100;4;4;4;4
0.77110;4;4;4;4
0.77120;4;4;4;4
0.77130;4;4;4;4
0.77140;4;4;4;4
0.77150;4;4;4;4
0.77160;4;4;4;4
0.77170;4;4;4;4
0.77180;4;4;4;4
0.77190;4;4;4;4
0.77200;4;4;4;4
0.77210;4;4;4;4
0.77220;4;4;4;4
0.77230;4;4;4;4
0.77240;4;4;4;4
0.77250;4;4;4;4
0.77260;4;4;4;4
0.77270;4;4;4;4
0.77280;4;4;4;4
0.77290;4;4;4;4
0.77300;4;4;4;4
0.77310;4;4;4;4
0.77320;4;4;4;4
0.77330;4;4;4;4
0.77340;4;4;4;4
0.77350;4;4;4;4
0.77360;4;4;4;4
0.77370;4;4;4;4
0.77380;4;4;4;4
0.77390;4;4;4;4
0.77400;4;4;4;4
0.77410;4;4;4;4
0.77420;4;4;4;4
0.77430;4;4;4;4
0.77440;4;4;4;4
0.77450;4;4;4;4
0.77460;4;4;4;4
0.77470;4;4;4;4
0.77480;4;4;4;4
0.77490;4;4;4;4
0.77500;4;4;4;4
0.77510;4;4;4;4
0.77520;4;4;4;4
0.77530;4;4;4;4
0.77540;4;4;4;4
0.77550;4;4;4;4
0.77560;4;4;4;4
0.77570;4;4;4;4
0.77580;4;4;4;4
0.77590;4;4;4;4
0.77600;4;4;4;4
0.77610;4;4;4;4
0.77620;4;4;4;4
0.77630;4;4;4;4
0.77640;4;4;4;4
0.77650;4;4;4;4
0.77660;4;4;4;4
0.77670;4;4;4;4
0.77680;4;4;4;4
0.77690;4;4;4;4
0.77700;4;4;4;4
0.77710;4;4;4;4
0.77720;4;4;4;4
0.77730;4;4;4;4
0.77740;4;4;4;4
0.77750;4;4;4;4
0.77760;4;4;4;4
0.77770;4;4;4;4
0.77780;4;4;4;4
0.77790;4;4;4;4
0.77800;4;4;4;4
0.77810;4;4;4;4
0.77820;4;4;4;4
0.77830;4;4;4;4
0.77840;4;4;4;4
0.77850;4;4;4;4
0.77860;4;4;4;4
0.77870;4;4;4;4
0.77880;4;4;4;4
0.77890;4;4;4;4
0.77900;4;4;4;4
0.77910;4;4;4;4
0.77920;4;4;4;4
0.77930;4;4;4;4
0.77940;4;4;4;4
0.77950;4;4;4;4
0.77960;4;4;4;4
0.77970;4;4;4;4
0.77980;4;4;4;4
0.77990;4;4;4;4
0.78000;4;4;4;4
0.78010;4;4;4;4
0.78020;4;4;4;4
0.78030;4;4;4;4
0.78040;4;4;4;4
0.78050;4;4;4;4
0.78060;4;4;4;4
0.78070;4;4;4;4
0.78080;4;4;4;4
0.78090;4;4;4;4
0.78100;4;4;4;4
0.78110;4;4;4;4
0.78120;4;4;4;4
0.78130;4;4;4;4
0.78140;4;4;4;4
0.78150;4;4;4;4
0.78160;4;4;4;4
0.78170;4;4;4;4
0.78180;4;4;4;4
0.78190;4;4;4;4
0.78200;4;4;4;4
0.78210;4;4;4;4
0.78220;4;4;4;4
0.78230;4;4;4;4
0.78240;4;4;4;4
0.78250;4;4;4;4
0.78260;4;4;4;4
0.78270;4;4;4;4
0.78280;4;4;4;4
0.78290;4;4;4;4
0.78300;4;4;4;4
0.78310;4;4;4;4
0.78320;4;4;4;4
0.78330;4;4;4;4
0.78340;4;4;4;4
0.78350;4;4;4;4
0.78360;4;4;4;4
0.78370;4;4;4;4
0.78380;4;4;4;4
0.78390;4;4;4;4
0.78400;4;4;4;4
0.78410;4;4;4;4
0.78420;4;4;4;4
0.78430;4;4;4;4
0.78440;4;4;4;4
0.78450;4;4;4;4
0.78460;4;4;4;4
0.78470;4;4;4;4
0.78480;4;4;4;4
0.78490;4;4;4;4
0.78500;4;4;4;4
0.78510;4;4;4;4
0.78520;4;4;4;4
0.78530;4;4;4;4
0.78540;4;4;4;4
0.78550;4;4;4;4
0.78560;4;4;4;4
0.78570;4;4;4;4
0.78580;4;4;4;4
0.78590;4;4;4;4
0.78600;4;4;4;4
0.78610;4;4;4;4
0.78620;4;4;4;4
0.78630;4;4;4;4
0.78640;4;4;4;4
0.78650;4;4;4;4
0.78660;4;4;4;4
0.78670;4;4;4;4
0.78680;4;4;4;4
0.78690;4;4;4;4
0.78700;4;4;4;4
0.78710;4;4;4;4
0.78720;4;4;4;4
0.78730;4;4;4;4
0.78740;4;4;4;4
0.78750;4;4;4;4
0.78760;4;4;4;4
0.78770;4;4;4;4
0.78780;4;4;4;4
0.78790;4;4;4;4
0.78800;4;4;4;4
0.78810;4;4;4;4
0.78820;4;4;4;4
0.78830;4;4;4;4
0.78840;4;4;4;4
0.78850;4;4;4;4
0.78860;4;4;4;4
0.78870;4;4;4;4
0.78880;4;4;4;4
0.78890;4;4;4;4
0.78900;4;4;4;4
0.78910;4;4;4;4
0.78920;4;4;4;4
0.78930;4;4;4;4
0.78940;4;4;4;4
0.78950;4;4;4;4
0.78960;4;4;4;4
0.78970;4;4;4;4
0.78980;4;4;4;4
0.78990;4;4;4;4
0.79000;4;4;4;4
0.79010;4;4;4;4
0.79020;4;4;4;4
0.79030;4;4;4;4
0.79040;4;4;4;4
0.79050;4;4;4;4
0.79060;4;4;4;4
0.79070;4;4;4;4
0.79080;4;4;4;4
0.79090;4;4;4;4
0.79100;4;4;4;4
0.79110;4;4;4;4
0.79120;4;4;4;4
0.79130;4;4;4;4
0.79140;4;4;4;4
0.79150;4;4;4;4
0.79160;4;4;4;4
0.79170;4;4;4;4
0.79180;4;4;4;4
0.79190;4;4;4;4
0.79200;4;4;4;4
0.79210;4;4;4;4
0.79220;4;4;4;4
0.79230;4;4;4;4
0.79240;4;4;4;4
0.79250;4;4;4;4
0.79260;4;4;4;4
0.79270;4;4;4;4
0.79280;4;4;4;4
0.79290;4;4;4;4
0.79300;4;4;4;4
0.79310;4;4;4;4
0.79320;4;4;4;4
0.79330;4;4;4;4
0.79340;4;4;4;4
0.79350;4;4;4;4
0.79360;4;4;4;4
0.79370;4;4;4;4
0.79380;4;4;4;4
0.79390;4;4;4;4
0.79400;4;4;4;4
0.79410;4;4;4;4
0.79420;4;4;4;4
0.79430;4;4;4;4
0.79440;4;4;4;4
0.79450;4;4;4;4
0.79460;4;4;4;4
0.79470;4;4;4;4
0.79480;4;4;4;4
0.79490;4;4;4;4
0.79500;4;4;4;4
0.79510;4;4;4;4
0.79520;4;4;4;4
0.79530;4;4;4;4
