Value for threshold delta;Mbs with Epsilon=0.01;Mbs with Epsilon=0.001;Mbs with Epsilon=0.00010;Mbs with Epsilon=0.000010
0.76;7;7;7;7
0.761;7;7;7;7
0.762;7;7;7;7
0.763;7;7;7;7
0.764;7;7;7;7
0.765;7;7;7;7
0.766;7;7;7;7
0.767;7;7;7;7
0.768;7;7;7;7
0.769;7;7;7;7
0.77;7;7;7;7
0.771;7;7;7;7
0.772;7;7;7;7
0.773;7;7;7;7
0.774;7;7;7;7
0.775;7;7;7;7
0.776;7;7;7;7
0.777;7;7;7;7
0.778;7;7;7;7
0.779;7;7;7;7
0.78;7;7;7;7
0.781;7;7;7;7
0.782;7;7;7;7
0.783;7;7;7;7
0.784;7;7;7;7
0.785;7;7;7;7
0.786;7;7;7;7
0.787;7;7;7;7
0.788;7;7;7;7
0.789;7;7;7;7
0.79;7;7;7;7
0.791;7;7;7;7
0.792;7;7;7;7
0.793;7;7;7;7
0.794;7;7;7;7
0.795;7;7;7;7
0.796;7;7;7;7
0.797;7;7;7;7
0.798;7;7;7;7
0.799;7;7;7;7
0.8;7;7;7;7
0.801;7;7;7;7
0.802;7;7;7;7
0.803;7;7;7;7
0.804;7;7;7;7
0.805;7;7;7;7
0.806;7;7;7;7
0.807;7;7;7;7
0.808;7;7;7;7
0.809;7;7;7;7
0.81;7;7;7;7
0.811;7;7;7;7
0.812;7;7;7;7
0.813;7;7;7;7
0.814;7;7;7;7
0.815;7;7;7;7
0.816;7;7;7;7
0.817;7;7;7;7
0.818;7;7;7;7
0.819;7;7;7;7
0.82;7;7;7;7
0.821;7;7;7;7
0.822;7;7;7;7
0.823;7;7;7;7
0.824;7;7;7;7
0.825;7;7;7;7
0.826;7;7;7;7
0.827;7;7;7;7
0.828;7;7;7;7
0.829;7;7;7;7
0.83;7;7;7;7
0.831;7;7;7;7
0.832;7;7;7;7
0.833;7;7;7;7
0.834;7;7;7;7
0.835;7;7;7;7
0.836;7;7;7;7
0.837;7;7;7;7
0.838;7;7;7;7
0.839;7;7;7;7
0.84;7;7;7;7
0.841;7;7;7;7
0.842;7;7;7;7
0.843;7;7;7;7
0.844;7;7;7;7
0.845;7;7;7;7
0.846;7;7;7;7
0.847;7;7;7;7
0.848;7;7;7;7
0.849;7;7;7;7
0.85;7;7;7;7
0.851;7;7;7;7
0.852;7;7;7;7
0.853;7;7;7;7
0.854;7;7;7;7
0.855;7;7;7;7
0.856;7;7;7;7
0.857;7;7;7;7
0.858;7;7;7;7
0.859;7;7;7;7
0.86;7;7;7;7
0.861;7;7;7;7
0.862;7;7;7;7
0.863;7;7;7;7
0.864;7;7;7;7
0.865;7;7;7;7
0.866;7;7;7;7
0.867;7;7;7;7
0.868;7;7;7;7
0.869;7;7;7;7
0.87;7;7;7;7
0.871;7;7;7;7
0.872;7;7;7;7
0.873;7;7;7;7
0.874;7;7;7;7
0.875;7;7;7;7
0.876;7;7;7;7
0.877;7;7;7;7
0.878;7;7;7;7
0.879;7;7;7;7
0.88;7;7;7;7
0.881;7;7;7;7
0.882;7;7;7;7
0.883;7;7;7;7
0.884;7;7;7;7
0.885;7;7;7;7
0.886;7;7;7;7
0.887;7;7;7;7
0.888;7;7;7;7
0.889;7;7;7;7
0.89;7;7;7;7
0.891;7;7;7;7
0.892;7;7;7;7
0.893;7;7;7;7
0.894;7;7;7;7
0.895;7;7;7;7
0.896;7;7;7;7
0.897;7;7;7;7
0.898;7;7;7;7
0.899;7;7;7;7
0.9;7;7;7;7
0.901;7;7;7;7
0.902;7;7;7;7
0.903;7;7;7;7
0.904;7;7;7;7
0.905;7;7;7;7
0.906;7;7;7;7
0.907;7;7;7;7
0.908;7;7;7;7
0.909;7;7;7;7
0.91;7;7;7;7
0.911;7;7;7;7
0.912;7;7;7;7
0.913;7;7;7;7
0.914;7;7;7;7
0.915;7;7;7;7
0.916;7;7;7;7
0.917;7;7;7;7
0.918;7;7;7;7
0.919;7;7;7;7
0.92;7;7;7;7
0.921;7;7;7;7
0.922;7;7;7;7
0.923;7;7;7;7
0.924;7;7;7;7
0.925;7;7;7;7
0.926;7;7;7;7
0.927;7;7;7;7
0.928;7;7;7;7
0.929;7;7;7;7
0.93;7;7;7;7
0.931;7;7;7;7
0.932;7;7;7;7
0.933;7;7;7;7
0.934;7;7;7;7
0.935;7;7;7;7
0.936;7;7;7;7
0.937;7;7;7;7
0.938;7;7;7;7
0.939;7;7;7;7
0.94;7;7;7;7
0.941;7;7;7;7
0.942;7;7;7;7
0.943;7;7;7;7
0.944;7;7;7;7
0.945;7;7;7;7
0.946;7;7;7;7
0.947;7;7;7;7
0.948;7;7;7;7
0.949;7;7;7;7
0.95;7;7;7;7
0.951;7;7;7;7
0.952;7;7;7;7
0.953;7;7;7;7
0.954;7;7;7;7
0.955;7;7;7;7
0.956;7;7;7;7
0.957;7;7;7;7
0.958;7;7;7;7
0.959;7;7;7;7
0.96;7;7;7;7
0.961;7;7;7;7
0.962;7;7;7;7
0.963;7;7;7;7
0.964;7;7;7;7
