Value for threshold delta;I-Maximality ; Conflict-Freeness; Reduct Admissibility ; Defence ; Semi-Qualified Admissibility ; Admissibility ; Strong Admissibility; Weak Reinstatement ; CF-Reinstatement ;INRA; Directionality ; Naivety ; Modularization ; Reinstatement ; SCC Recursiveness;
0.906;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.907;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.908;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.909;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.91;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.911;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.912;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.913;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.914;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.915;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.916;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.917;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.918;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.919;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.92;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.921;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.922;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.923;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.924;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.925;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.926;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.927;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.928;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.929;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.93;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.931;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.932;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.933;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.934;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.935;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.936;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.937;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.938;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.939;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.94;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.941;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.942;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.943;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.944;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.945;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.946;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.947;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.948;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.949;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.95;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.951;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.952;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.953;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.954;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.955;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.956;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.957;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.958;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.959;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.96;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.961;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.962;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.963;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.964;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.965;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.966;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.967;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.968;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.969;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.97;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.971;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.972;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.973;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.974;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.975;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.976;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.977;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.978;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.979;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.98;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.981;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.982;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.983;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.984;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.985;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.986;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.987;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.988;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.989;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.99;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.991;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.992;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.993;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.994;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.995;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.996;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.997;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.998;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
0.999;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;8
1.000;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;9
