Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.654,"8,13,8,8,13,13,13"
0.655,"13,13,13,8,13,13,13"
0.656,"8,8,13,13,13,13,8"
0.657,"13,8,8,13,13,13,8"
0.658,"8,13,8,8,13,13,13"
0.659,"13,13,13,8,13,13,13"
0.660,"8,13,13,8,8,13,13"
0.661,"13,13,8,8,13,13,13"
0.662,"8,13,8,13,8,13,13"
0.663,"8,8,8,13,13,13,13"
0.664,"13,8,13,8,13,13,8"
0.665,"8,8,13,8,13,13,8"
0.666,"8,8,8,13,13,13,13"
0.667,"8,8,8,13,8,13,8"
0.668,"8,8,13,8,8,13,9"
0.669,"8,8,9,8,8,13,9"
0.670,"8,9,8,8,8,13,9"
0.671,"8,8,8,8,8,13,9"
0.672,"8,8,9,8,8,13,13"
0.673,"8,8,13,8,8,13,13"
0.674,"8,8,8,8,8,13,13"
0.675,"8,8,8,13,8,13,13"
0.676,"8,8,9,8,8,13,13"
0.677,"13,8,13,8,8,13,13"
0.678,"13,8,8,8,8,13,13"
0.679,"13,8,8,8,8,13,13"
0.680,"8,8,8,8,8,13,13"
0.681,"8,8,8,8,8,13,13"
0.682,"8,8,8,8,8,8,13"
0.683,"8,8,8,13,8,8,13"
0.684,"8,8,8,13,8,8,13"
0.685,"13,8,8,8,8,8,13"
0.686,"13,8,8,8,8,8,13"
0.687,"13,8,8,8,8,8,13"
0.688,"8,8,8,8,8,8,13"
0.689,"8,8,8,8,8,8,13"
0.690,"8,8,8,8,8,8,13"
0.691,"8,8,13,9,8,8,13"
0.692,"13,13,13,13,8,8,13"
0.693,"13,13,13,8,8,8,13"
0.694,"13,13,8,8,8,8,13"
0.695,"13,8,8,8,8,8,13"
0.696,"13,8,8,9,8,8,13"
0.697,"8,8,8,8,8,8,13"
0.698,"8,8,8,8,8,8,13"
0.699,"8,8,13,8,8,8,13"
0.700,"8,13,13,13,8,8,13"
0.701,"8,13,13,8,8,8,13"
0.702,"8,13,8,8,8,8,13"
0.703,"8,13,8,8,8,8,13"
0.704,"8,8,8,8,8,8,13"
0.705,"8,8,8,8,13,8,8"
0.706,"8,8,13,8,13,8,8"
0.707,"8,8,13,8,13,8,8"
0.708,"8,9,13,8,8,8,8"
0.709,"8,13,13,8,8,8,8"
0.710,"8,13,8,8,8,8,8"
0.711,"8,13,8,8,8,8,8"
0.712,"8,8,8,8,8,8,8"
0.713,"8,8,8,8,13,8,8"
0.714,"8,8,8,13,13,9,8"
0.715,"8,8,8,13,13,8,8"
0.716,"8,13,8,13,8,8,8"
0.717,"8,13,8,8,8,8,8"
0.718,"8,13,8,8,8,8,13"
0.719,"8,13,8,8,8,8,13"
0.720,"8,8,8,8,13,8,13"
0.721,"8,8,8,8,13,8,13"
0.722,"8,8,8,8,13,13,8"
0.723,"8,8,8,8,13,8,8"
0.724,"8,8,13,8,8,8,8"
0.725,"8,8,13,13,8,8,8"
0.726,"8,8,13,8,8,8,8"
0.727,"8,8,8,8,8,9,13"
0.728,"8,8,8,8,8,13,13"
0.729,"8,8,8,13,8,13,13"
0.730,"8,8,8,13,8,13,8"
0.731,"8,8,8,13,8,8,8"
0.732,"8,8,13,13,8,8,8"
0.733,"8,8,13,13,8,8,8"
0.734,"8,8,13,8,8,8,13"
0.735,"8,8,8,8,8,8,13"
0.736,"8,8,8,8,8,8,13"
0.737,"8,8,8,8,8,8,13"
0.738,"8,8,9,8,8,13,8"
0.739,"8,8,13,13,8,8,8"
0.740,"9,8,13,13,8,8,8"
0.741,"13,8,13,13,8,8,8"
0.742,"8,8,13,8,8,8,8"
0.743,"8,8,8,8,8,13,8"
0.744,"9,8,8,8,8,13,8"
0.745,"13,8,8,8,8,13,8"
0.746,"8,8,8,9,8,13,8"
0.747,"8,8,8,13,8,13,8"
0.748,"8,9,8,13,8,8,8"
0.749,"8,8,8,13,8,8,8"
0.750,"8,8,8,8,8,8,8"
0.751,"8,8,8,8,8,8,13"
0.752,"8,8,8,8,8,8,13"
0.753,"8,8,8,8,8,8,13"
0.754,"8,8,13,8,8,8,8"
0.755,"8,8,13,13,8,8,8"
0.756,"8,8,8,13,8,8,8"
0.757,"13,8,8,13,8,8,8"
0.758,"8,8,13,8,8,8,8"
0.759,"8,8,13,8,8,8,13"
0.760,"8,8,8,8,8,8,13"
0.761,"13,8,8,9,8,8,13"
0.762,"8,8,8,13,8,8,13"
0.763,"8,8,8,13,8,8,8"
0.764,"8,13,8,13,8,8,8"
0.765,"8,8,8,13,8,8,9"
0.766,"8,8,8,13,8,8,9"
0.767,"8,8,8,8,8,8,13"
0.768,"8,13,8,8,8,8,13"
0.769,"8,8,8,8,8,8,13"
0.770,"8,8,8,8,13,8,13"
0.771,"8,8,13,8,13,8,8"
0.772,"8,8,8,8,13,8,8"
0.773,"8,8,8,8,8,8,8"
0.774,"8,8,8,8,8,8,8"
0.775,"8,8,13,8,8,8,8"
0.776,"13,8,8,8,8,8,8"
0.777,"8,8,8,8,8,8,8"
0.778,"13,8,8,13,13,8,8"
0.779,"8,8,8,8,13,8,8"
0.780,"8,13,8,8,13,8,8"
0.781,"8,8,8,8,13,8,8"
0.782,"8,8,8,13,8,8,8"
0.783,"8,8,8,8,9,8,8"
0.784,"8,13,8,8,8,8,13"
0.785,"8,8,8,8,8,13,13"
0.786,"8,8,8,8,13,13,13"
0.787,"8,8,13,8,13,13,8"
0.788,"8,8,8,8,13,13,8"
0.789,"8,8,8,8,13,8,8"
