Value for threshold delta,"MAX mit Epsilon=1.0E-7,MAX mit Epsilon=0.01,MAX mit Epsilon=0.001,MAX mit Epsilon=1.0E-8,MAX mit Epsilon=0.00010,MAX mit Epsilon=0.0000010,MAX mit Epsilon=0.000010"
0.619460,"13,13,13,13,13,13,13"
0.619470,"13,13,13,13,13,13,13"
0.619480,"13,13,13,13,13,13,13"
0.619490,"13,13,13,13,13,13,13"
0.619500,"13,13,13,13,13,13,13"
0.619510,"13,13,13,13,13,13,13"
0.619520,"13,13,13,13,13,13,13"
0.619530,"13,13,13,13,13,13,13"
0.619540,"13,13,13,13,13,13,13"
0.619550,"13,13,13,13,13,13,13"
0.619560,"13,13,13,13,13,13,13"
0.619570,"13,13,13,13,13,13,13"
0.619580,"13,13,13,13,13,13,13"
0.619590,"13,13,13,13,13,13,13"
0.619600,"13,13,13,13,13,13,13"
0.619610,"13,13,13,13,13,13,13"
0.619620,"13,13,13,13,13,13,13"
0.619630,"13,13,13,13,13,13,13"
0.619640,"13,13,13,13,13,13,13"
0.619650,"13,13,13,13,13,13,13"
0.619660,"13,13,13,13,13,13,13"
0.619670,"13,13,13,13,13,13,13"
0.619680,"13,13,13,13,13,13,13"
0.619690,"13,13,13,13,13,13,13"
0.619700,"13,13,13,13,13,13,13"
0.619710,"13,13,13,13,13,13,13"
0.619720,"13,13,13,13,13,13,13"
0.619730,"13,13,13,13,13,13,13"
0.619740,"13,13,13,13,13,13,13"
0.619750,"13,13,13,13,13,13,13"
0.619760,"13,13,13,13,13,13,13"
0.619770,"13,13,13,13,13,13,13"
0.619780,"13,13,13,13,13,13,13"
0.619790,"13,13,13,13,13,13,13"
0.619800,"13,13,13,13,13,13,13"
0.619810,"13,13,13,13,13,13,13"
0.619820,"13,13,13,13,13,13,13"
0.619830,"13,13,13,13,13,13,13"
0.619840,"13,13,13,13,13,13,13"
0.619850,"13,13,13,13,13,13,13"
0.619860,"13,13,13,13,13,13,13"
0.619870,"13,13,13,13,13,13,13"
0.619880,"13,13,13,13,13,13,13"
0.619890,"13,13,13,13,13,13,13"
0.619900,"13,13,13,13,13,13,13"
0.619910,"13,13,13,13,13,13,13"
0.619920,"13,13,13,13,13,13,13"
0.619930,"13,13,13,13,13,13,13"
0.619940,"13,13,13,13,13,13,13"
0.619950,"13,13,13,13,13,13,13"
0.619960,"13,13,13,13,13,13,13"
0.619970,"13,13,13,13,13,13,13"
0.619980,"13,13,13,13,13,13,13"
0.619990,"13,13,13,13,13,13,13"
0.620000,"13,13,13,13,13,13,13"
