Value for threshold delta,"TRUST mit Epsilon=0.01,TRUST mit Epsilon=0.001,TRUST mit Epsilon=0.00010,TRUST mit Epsilon=0.000010"
0.0,"6,6,6,8"
0.001,"6,6,6,8"
0.002,"6,8,8,8"
0.003,"6,6,8,6"
0.004,"6,6,8,6"
0.005,"6,6,6,6"
0.006,"6,6,6,6"
0.007,"6,6,6,6"
0.008,"6,6,6,8"
0.009,"6,6,6,8"
0.010,"6,6,8,8"
0.011,"6,6,8,8"
0.012,"6,6,8,6"
0.013,"6,6,6,6"
0.014,"6,6,6,6"
0.015,"6,6,6,6"
0.016,"6,6,6,6"
0.017,"6,6,6,6"
0.018,"6,8,8,6"
0.019,"6,6,8,6"
0.020,"6,6,8,6"
0.021,"6,6,6,6"
0.022,"6,8,6,6"
0.023,"6,6,6,6"
0.024,"6,6,6,6"
0.025,"6,6,6,6"
0.026,"6,8,8,6"
0.027,"6,6,8,6"
0.028,"6,6,8,6"
0.029,"6,6,8,6"
0.030,"6,8,6,6"
0.031,"6,6,6,6"
0.032,"8,6,6,6"
0.033,"6,6,8,6"
0.034,"6,8,6,6"
0.035,"6,6,6,6"
0.036,"6,6,6,6"
0.037,"6,6,8,6"
0.038,"6,8,6,6"
0.039,"6,6,6,6"
0.040,"6,6,6,6"
0.041,"6,6,8,6"
0.042,"6,8,6,6"
0.043,"6,8,6,6"
0.044,"6,6,6,8"
0.045,"6,6,8,6"
0.046,"6,8,6,6"
0.047,"6,8,6,6"
0.048,"6,6,6,6"
0.049,"6,6,8,8"
0.050,"6,6,6,8"
0.051,"6,6,6,8"
0.052,"6,6,6,8"
0.053,"6,6,8,6"
0.054,"6,6,6,6"
0.055,"6,6,6,6"
0.056,"6,6,6,6"
0.057,"6,6,8,6"
0.058,"6,6,6,8"
0.059,"6,6,6,8"
0.060,"6,6,6,8"
0.061,"6,6,8,6"
0.062,"8,6,6,6"
0.063,"8,6,6,6"
0.064,"8,6,6,6"
0.065,"8,6,8,6"
0.066,"6,6,8,8"
0.067,"6,6,6,8"
0.068,"6,6,6,8"
0.069,"6,6,8,6"
0.070,"6,6,8,6"
0.071,"6,6,6,6"
0.072,"6,6,6,6"
0.073,"6,6,6,6"
0.074,"6,6,8,8"
0.075,"6,6,6,8"
0.076,"6,6,6,8"
0.077,"6,6,6,6"
0.078,"6,6,8,6"
0.079,"6,6,6,6"
0.080,"6,8,6,6"
0.081,"6,8,6,6"
0.082,"6,8,8,6"
0.083,"6,8,6,6"
0.084,"6,8,6,6"
0.085,"6,8,6,6"
0.086,"6,8,8,6"
0.087,"6,8,6,6"
0.088,"6,8,6,6"
0.089,"6,8,6,8"
0.090,"6,8,8,6"
0.091,"6,8,6,6"
0.092,"6,8,6,6"
0.093,"6,8,6,6"
0.094,"6,8,8,6"
0.095,"6,8,8,6"
0.096,"6,8,8,6"
0.097,"6,8,8,6"
0.098,"6,8,8,6"
0.099,"6,8,8,6"
0.100,"6,8,8,6"
0.101,"6,8,8,6"
0.102,"6,8,8,6"
0.103,"6,8,8,6"
0.104,"6,8,8,6"
0.105,"6,8,8,6"
0.106,"6,8,8,6"
0.107,"6,8,8,6"
0.108,"6,8,8,6"
0.109,"6,8,8,6"
0.110,"6,8,8,8"
0.111,"6,8,8,8"
0.112,"6,8,8,8"
0.113,"6,6,8,8"
0.114,"8,6,8,8"
0.115,"6,6,8,8"
0.116,"6,6,8,8"
0.117,"6,6,8,8"
0.118,"6,6,8,8"
0.119,"6,6,8,8"
0.120,"6,6,8,8"
0.121,"6,6,8,8"
0.122,"6,6,8,8"
0.123,"6,6,8,8"
0.124,"6,6,8,8"
0.125,"6,6,8,8"
0.126,"6,6,8,8"
0.127,"6,6,8,8"
0.128,"6,6,8,8"
0.129,"6,6,8,8"
0.130,"8,6,8,8"
0.131,"6,6,8,8"
0.132,"6,6,8,8"
0.133,"6,6,8,8"
0.134,"6,6,8,8"
0.135,"6,6,8,8"
0.136,"6,6,8,8"
0.137,"6,8,8,8"
0.138,"6,6,8,8"
0.139,"6,6,8,8"
0.140,"6,6,8,8"
0.141,"6,6,8,8"
0.142,"6,6,8,8"
0.143,"6,6,9,6"
0.144,"6,6,8,6"
0.145,"6,8,8,6"
0.146,"6,6,8,6"
0.147,"6,6,8,6"
0.148,"6,6,8,6"
0.149,"6,6,8,6"
0.150,"6,6,8,6"
0.151,"6,6,8,6"
0.152,"6,6,8,6"
0.153,"6,6,8,6"
0.154,"6,6,8,6"
0.155,"6,6,8,6"
0.156,"6,6,8,6"
0.157,"6,6,8,6"
0.158,"6,6,8,6"
0.159,"6,6,8,6"
0.160,"6,6,9,6"
0.161,"6,6,6,6"
0.162,"6,6,6,6"
0.163,"6,6,6,6"
0.164,"6,6,6,6"
0.165,"6,6,6,6"
0.166,"6,6,6,6"
0.167,"6,6,6,6"
0.168,"6,6,6,6"
0.169,"6,6,6,6"
0.170,"6,6,6,6"
0.171,"6,6,6,6"
0.172,"6,6,6,6"
0.173,"6,6,6,6"
0.174,"6,6,6,6"
0.175,"6,6,6,8"
0.176,"6,6,6,8"
0.177,"8,6,6,8"
0.178,"8,8,6,8"
0.179,"8,6,6,8"
0.180,"6,6,6,8"
0.181,"6,6,6,8"
0.182,"6,6,6,8"
0.183,"6,6,6,8"
0.184,"6,6,6,8"
0.185,"6,6,6,8"
0.186,"6,6,6,8"
0.187,"6,6,6,8"
0.188,"6,6,6,8"
0.189,"6,6,6,8"
0.190,"6,6,6,8"
0.191,"6,6,6,8"
0.192,"6,6,6,8"
0.193,"8,6,6,8"
0.194,"8,6,6,8"
0.195,"8,6,6,8"
0.196,"8,6,6,8"
0.197,"6,6,6,8"
0.198,"6,6,6,8"
0.199,"6,6,6,8"
0.200,"6,6,6,8"
0.201,"6,6,6,8"
0.202,"6,6,6,8"
0.203,"6,6,6,8"
0.204,"6,6,6,8"
0.205,"6,6,6,8"
0.206,"6,6,6,8"
0.207,"6,6,6,8"
0.208,"6,8,6,6"
0.209,"6,8,6,6"
0.210,"6,8,6,6"
0.211,"6,6,6,6"
0.212,"6,6,6,6"
0.213,"6,6,6,6"
0.214,"6,6,6,6"
0.215,"6,6,6,6"
0.216,"6,6,6,6"
0.217,"6,6,6,6"
0.218,"6,6,6,6"
0.219,"6,6,6,6"
0.220,"6,6,6,6"
0.221,"6,6,6,6"
0.222,"6,6,6,6"
0.223,"6,6,8,6"
0.224,"6,6,8,6"
0.225,"6,6,8,6"
0.226,"6,6,6,6"
0.227,"6,6,6,6"
0.228,"6,6,6,6"
0.229,"6,6,6,6"
0.230,"6,6,6,8"
0.231,"6,6,6,8"
0.232,"6,6,6,8"
0.233,"6,6,6,6"
0.234,"6,6,6,6"
0.235,"6,6,6,6"
0.236,"6,6,6,6"
0.237,"6,6,6,6"
0.238,"6,6,6,8"
0.239,"6,6,6,8"
0.240,"6,6,6,8"
0.241,"8,8,6,6"
0.242,"6,8,6,6"
0.243,"6,8,6,6"
0.244,"6,6,6,6"
0.245,"8,6,6,6"
0.246,"6,6,6,6"
0.247,"6,6,6,6"
0.248,"6,6,6,6"
0.249,"6,6,6,6"
0.250,"6,6,6,6"
0.251,"6,6,6,6"
0.252,"6,6,6,6"
0.253,"6,6,6,6"
0.254,"6,6,6,6"
0.255,"6,6,6,6"
0.256,"6,6,6,6"
0.257,"8,6,6,6"
0.258,"6,6,6,6"
0.259,"6,6,6,6"
0.260,"6,6,6,6"
0.261,"8,6,6,6"
0.262,"6,6,6,6"
0.263,"6,6,6,6"
0.264,"6,6,6,6"
0.265,"6,6,6,6"
0.266,"6,6,6,6"
0.267,"6,6,6,6"
0.268,"6,6,6,6"
0.269,"6,6,6,6"
0.270,"6,6,6,6"
0.271,"6,6,6,8"
0.272,"6,8,6,8"
0.273,"6,6,6,8"
0.274,"6,6,6,6"
0.275,"6,6,6,6"
0.276,"8,8,6,6"
0.277,"6,6,6,6"
0.278,"6,6,6,6"
0.279,"6,6,6,6"
0.280,"6,6,6,6"
0.281,"6,6,6,6"
0.282,"6,6,6,6"
0.283,"6,6,6,6"
0.284,"6,6,6,6"
0.285,"6,6,6,6"
0.286,"6,6,6,6"
0.287,"6,6,6,6"
0.288,"6,6,6,6"
0.289,"6,6,8,6"
0.290,"6,6,8,6"
0.291,"6,6,8,6"
0.292,"6,6,6,6"
0.293,"6,6,6,6"
0.294,"6,6,6,6"
0.295,"6,6,6,6"
0.296,"6,6,6,6"
0.297,"6,6,6,6"
0.298,"6,6,6,6"
0.299,"6,6,6,6"
0.300,"6,6,6,6"
0.301,"6,6,6,6"
0.302,"6,6,6,6"
0.303,"6,6,6,8"
0.304,"8,6,6,8"
0.305,"8,8,6,8"
0.306,"8,6,6,8"
0.307,"8,6,6,6"
0.308,"8,6,6,6"
0.309,"8,8,6,6"
0.310,"8,6,6,6"
0.311,"6,6,6,6"
0.312,"6,6,6,6"
0.313,"6,6,6,6"
0.314,"6,6,6,6"
0.315,"6,6,6,6"
0.316,"6,6,6,6"
0.317,"6,6,6,6"
0.318,"6,6,6,6"
0.319,"6,6,6,6"
0.320,"8,6,6,6"
0.321,"8,6,6,6"
0.322,"8,6,8,6"
0.323,"8,6,6,6"
0.324,"8,6,6,6"
0.325,"8,6,6,6"
0.326,"8,6,6,6"
0.327,"8,6,6,6"
0.328,"6,6,6,6"
0.329,"6,6,6,6"
0.330,"6,6,6,6"
0.331,"6,6,6,6"
0.332,"6,6,6,6"
0.333,"6,6,6,6"
0.334,"6,6,6,6"
0.335,"6,8,6,6"
0.336,"6,8,6,8"
0.337,"6,8,6,8"
0.338,"6,8,6,8"
0.339,"6,8,6,6"
0.340,"6,8,6,6"
0.341,"6,8,6,6"
0.342,"6,8,6,6"
0.343,"6,6,6,6"
0.344,"6,6,6,6"
0.345,"6,6,6,6"
0.346,"6,6,6,6"
0.347,"6,6,6,6"
0.348,"6,6,6,6"
0.349,"6,6,6,6"
0.350,"6,6,8,6"
0.351,"6,6,8,6"
0.352,"6,6,8,6"
0.353,"6,6,8,6"
0.354,"6,6,8,6"
0.355,"6,6,8,6"
0.356,"6,6,8,6"
0.357,"6,6,6,6"
0.358,"6,6,6,6"
0.359,"6,6,6,6"
0.360,"8,6,6,6"
0.361,"6,6,6,6"
0.362,"6,6,6,6"
0.363,"6,6,6,6"
0.364,"6,6,6,6"
0.365,"6,6,6,8"
0.366,"6,6,6,8"
0.367,"6,6,6,8"
0.368,"8,8,6,8"
0.369,"6,8,6,8"
0.370,"6,8,6,8"
0.371,"6,8,6,8"
0.372,"6,8,6,6"
0.373,"6,8,6,6"
0.374,"6,8,6,6"
0.375,"6,6,6,6"
0.376,"8,6,6,6"
0.377,"6,6,6,6"
0.378,"6,6,6,6"
0.379,"6,6,6,6"
0.380,"6,6,6,6"
0.381,"6,6,6,6"
0.382,"6,6,6,6"
0.383,"6,6,6,6"
0.384,"8,6,6,6"
0.385,"6,6,6,6"
0.386,"6,6,6,6"
0.387,"6,6,6,6"
0.388,"6,6,6,6"
0.389,"6,6,6,6"
0.390,"6,6,6,6"
0.391,"6,6,6,6"
0.392,"8,6,6,6"
0.393,"6,6,6,6"
0.394,"6,6,6,6"
0.395,"6,6,6,6"
