Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
CATEGORIZER mit Epsilon=0.001,0.674,5,{Conflict-Free / Weak Admissibility / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.675,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.676,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.677,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.678,5,{Conflict-Free / Weak Admissibility / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.679,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.680,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.681,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.682,5,{Conflict-Free / Weak Admissibility / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.683,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.684,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.685,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.686,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.687,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.688,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.689,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.690,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.691,5,{Conflict-Free / Weak Admissibility / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.692,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.693,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.694,5,{Conflict-Free / Weak Admissibility / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.695,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.696,4,{Conflict-Free / Reduct Admissibility / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Defence}
CATEGORIZER mit Epsilon=0.001,0.697,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
CATEGORIZER mit Epsilon=0.001,0.698,3,{Conflict-Free / Semi-Qualified Admissibility / I-Maximality},{SCC Decomposability / Reinstatement / Modularization / Strong Admissibility / CF-Reinstatement / SCC Decomposability / Naivety / Admissibility / Weak Admissibility / Weak Reinstatement / Directionality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility / Defence}
