Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled
CATEGORIZER mit Epsilon=0.00010,0.19,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.20,1,{I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility}
CATEGORIZER mit Epsilon=0.00010,0.21,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.22,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.23,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.24,2,{Semi-Qualified Admissibility / I-Maximality},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility}
CATEGORIZER mit Epsilon=0.00010,0.25,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.26,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.27,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.28,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.29,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.30,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
CATEGORIZER mit Epsilon=0.00010,0.31,3,{Semi-Qualified Admissibility / I-Maximality / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Directionality / Conflict-Free / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)}
