Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
COUNTING mit Epsilon=0.00010,0.9939,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality},[0.1335]
COUNTING mit Epsilon=0.00010,0.9939,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},[0.20783333333333334]
