Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
ITS mit Epsilon=0.00010,0.6341,6,{Directionality / Semi-Qualified Admissibility / Conflict-Free / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Strong Admissibility / Reinstatement / Admissibility / SCC Decomposability / Defence / Naivety / CF-Reinstatement / Weak Reinstatement / I-Maximality},[0.15716666666666665]
ITS mit Epsilon=0.00010,0.6341,12,{Strong Admissibility / Reinstatement / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{SCC Decomposability / Directionality / Naivety},[0.2465]
