Value for threshold delta,"NSA mit Epsilon=0.01,NSA mit Epsilon=0.001,NSA mit Epsilon=0.00010,NSA mit Epsilon=0.000010"
0.575,"1,1,1,12"
0.576,"1,3,1,12"
0.577,"2,2,1,3"
0.578,"5,1,5,3"
0.579,"5,1,1,3"
0.580,"5,3,1,3"
0.581,"5,1,1,7"
0.582,"1,1,1,12"
0.583,"1,1,1,12"
0.584,"1,3,1,12"
0.585,"2,2,3,2"
0.586,"5,1,3,2"
0.587,"5,1,1,2"
0.588,"5,1,1,2"
0.589,"5,1,1,2"
0.590,"2,1,4,10"
0.591,"1,1,1,10"
0.592,"1,2,2,10"
0.593,"1,1,1,1"
0.594,"2,2,4,1"
0.595,"2,1,1,1"
0.596,"2,2,1,1"
0.597,"2,1,1,2"
0.598,"1,1,4,10"
0.599,"1,1,1,10"
0.600,"1,3,2,10"
0.601,"1,1,1,10"
0.602,"1,3,3,3"
0.603,"1,1,1,3"
0.604,"1,3,1,3"
0.605,"1,1,1,5"
0.606,"1,1,1,5"
0.607,"2,3,4,4"
0.608,"2,4,3,4"
0.609,"2,1,3,7"
0.610,"2,1,5,4"
0.611,"2,3,3,4"
0.612,"2,9,3,4"
0.613,"2,3,1,7"
0.614,"2,3,3,4"
0.615,"2,1,6,4"
0.616,"2,4,3,4"
0.617,"2,3,3,7"
0.618,"3,3,5,1"
0.619,"3,3,5,3"
0.620,"5,9,3,3"
0.621,"5,3,3,3"
0.622,"5,3,3,4"
0.623,"4,3,3,4"
0.624,"3,6,3,5"
0.625,"3,4,3,3"
0.626,"3,5,3,3"
0.627,"4,5,3,3"
0.628,"3,10,3,3"
0.629,"3,3,3,3"
0.630,"3,3,3,4"
0.631,"3,3,3,4"
0.632,"3,3,3,3"
0.633,"3,6,3,3"
0.634,"3,5,3,9"
0.635,"3,5,3,5"
0.636,"3,10,3,5"
0.637,"3,9,3,8"
0.638,"3,3,3,5"
0.639,"4,3,3,7"
0.640,"3,3,3,7"
0.641,"3,3,3,12"
0.642,"4,3,3,10"
0.643,"4,3,3,7"
0.644,"3,3,3,7"
0.645,"3,3,3,10"
0.646,"3,3,3,7"
0.647,"3,3,3,7"
0.648,"3,3,3,10"
0.649,"3,3,3,7"
0.650,"3,3,3,12"
0.651,"3,3,3,3"
0.652,"3,3,3,4"
0.653,"3,3,3,4"
0.654,"3,3,4,7"
0.655,"5,3,4,7"
0.656,"4,3,3,4"
0.657,"3,3,3,5"
0.658,"3,3,4,10"
0.659,"3,3,4,3"
0.660,"4,3,3,3"
0.661,"3,3,3,3"
