Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
NSA mit Epsilon=0.00010,0.9134,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality},"[0.1335, 0.1335]"
NSA mit Epsilon=0.00010,0.917,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality},"[0.1335, 0.1335]"
NSA mit Epsilon=0.00010,0.9134,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality},"[0.1335, 0.1335]"
NSA mit Epsilon=0.00010,0.917,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / I-Maximality},"[0.1335, 0.1335]"
