Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
MAX mit Epsilon=0.00010,0.70,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.71,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.72,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.73,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.74,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.75,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.76,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.77,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.78,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.79,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.80,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.81,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.82,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.83,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.84,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.85,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.86,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.87,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.88,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.89,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.90,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.91,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
MAX mit Epsilon=0.00010,0.92,8,{Strong Admissibility / Admissibility / Directionality / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.5385, 0.2465, 0.2465, 0.2465, 0.2465, 0.2465, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.20783333333333334, 0.0]"
