Bezeichnung,Value for threshold delta,Number of Principles fulfilled,principles_fulfilled,principles_not_fulfilled,node_ext_percentage
CATEGORIZER mit Epsilon=0.00010,1.0,9,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / Modularization / I-Maximality / Irrelevance of Necessarily Rejected Arguments (INRA) / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement},"[0.0, 0.20783333333333334, 0.20783333333333334]"
CATEGORIZER mit Epsilon=0.00010,0.9134,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.0, 0.20783333333333334, 0.20783333333333334]"
CATEGORIZER mit Epsilon=0.00010,0.917,7,{Strong Admissibility / Admissibility / Semi-Qualified Admissibility / Conflict-Free / Defence / I-Maximality / Reduct Admissibility},{Reinstatement / SCC Decomposability / Directionality / Naivety / CF-Reinstatement / Weak Reinstatement / Modularization / Irrelevance of Necessarily Rejected Arguments (INRA)},"[0.0, 0.20783333333333334, 0.20783333333333334]"
