"AF,ExtRanking
"
"<{ A0 },[]>",{A0},{A0=1}
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A1)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A2)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A0 },[(A1,A1), (A0,A0)]>",{},"{A1=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A2)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A1)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.5}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A0 },[(A1,A1), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A2), (A0,A0), (A0,A1), (A0,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2), (A0,A1), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A1), (A0,A0), (A0,A2), (A1,A0)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A2), (A1,A0)]>",{A1},"{A1=1, A2=0.5, A0=0.5}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A2,A2), (A0,A1)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A2), (A0,A0), (A0,A1)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
"<{ A1, A2, A0 },[(A1,A1), (A1,A2), (A2,A0), (A2,A1), (A0,A0), (A0,A2)]>",{},"{A1=0.6180257, A2=0.6180257, A0=0.6180257}"
