AF;Ext;Ranking;Grounded
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0)]>;{A1,A0};{A1=1, A2=0.5, A3=0.5, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2)]>;{A1,A3,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2)]>;{A1,A3,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.7500000000000000000000000000000000, A0=1};{A1,A3,A0}
<{ A1, A2, A0 },[(A1,A1)]>;{A1,A2,A0};{A1=0.0, A2=1, A0=1};{A2,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.25, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A3,A0)]>;{A1,A2,A3};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0)]>;{A1,A2,A3};{A1=0.0, A2=1, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A1,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6666666666666666666666666666666667};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A1,A0)]>;{A1};{A1=1, A2=0.5, A3=0.5, A0=0.5};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A0)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6000000000000000000000000000000000};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A0 },[(A1,A1), (A1,A2)]>;{A1,A2,A0};{A1=0.0, A2=1, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2)]>;{A1,A0};{A1=1, A2=0.0, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1)]>;{A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.4, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A2)]>;{A1,A3,A0};{A1=0.0, A2=0.5, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.4, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=0.0, A0=1};{A0}
<{ A1, A2, A0 },[(A1,A2), (A0,A0)]>;{A1,A0};{A1=1, A2=0.5, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A1), (A3,A2)]>;{A3,A0};{A1=0.5, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.4285714285714285714285714285714286, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0)]>;{A1,A2,A3};{A1=0.4574146130566364029399048854301773, A2=0.6861219195849546044098573281452659, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A3,A0)]>;{A2,A3};{A1=0.0, A2=1, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0), (A3,A1)]>;{A2,A3};{A1=0.0, A2=1, A3=1, A0=0.5};{A2,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A1,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=0.5, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2)]>;{A1,A0};{A1=1, A2=0.0, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A3,A2)]>;{A1,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A3,A2)]>;{A1,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1};{A1,A0}
<{ A1, A2, A0 },[(A1,A2), (A2,A1)]>;{A1,A2,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A1)]>;{A2,A3,A0};{A1=0.0, A2=0.0, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A3)]>;{A1,A0};{A1=1, A2=0.0, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2), (A0,A3)]>;{A1,A0};{A1=1, A2=0.0, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A2,A3)]>;{A1,A0};{A1=1, A2=0.0, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2), (A0,A0)]>;{A1,A2,A3,A0};{A1=0.0, A2=0.0, A3=0.0, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A0,A0), (A2,A3)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.5, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A0)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A0,A0)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=0.0};{}
<{ A1, A2, A0 },[(A1,A2), (A2,A2)]>;{A1,A0};{A1=1, A2=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A0)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=0.0, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A3,A1)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A0), (A2,A3)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.0};{}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A0,A2)]>;{A1,A3,A0};{A1=0.0, A2=0.5, A3=0.0, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A2)]>;{A1,A3,A0};{A1=0.0, A2=0.5, A3=1, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A0,A2)]>;{A1,A0};{A1=1, A2=0.5, A3=0.5, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A2)]>;{A1,A3,A0};{A1=0.0, A2=0.5, A3=0.6666666666666666666666666666666667, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3), (A0,A1)]>;{A2,A3,A0};{A1=0.0, A2=1, A3=1, A0=1};{A2,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A0,A2)]>;{A1,A3,A0};{A1=0.7320441988950276243093922651933701, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A0,A1)]>;{A2,A0};{A1=0.0, A2=1, A3=0.5, A0=1};{A2,A0}
<{ A1, A2, A0 },[(A1,A2), (A2,A0)]>;{A1,A0};{A1=1, A2=0.5, A0=0.6666666666666666666666666666666667};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0), (A1,A0)]>;{A1};{A1=1, A2=0.5, A3=0.5, A0=0.0};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3), (A1,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.0};{A1,A3}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.0, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1), (A3,A0)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.0, A0=1};{}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2), (A3,A0)]>;{A1,A2,A3,A0};{A1=0.0, A2=1, A3=0.0, A0=1};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2), (A0,A3)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.3333333333333333333333333333333333, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3), (A1,A0)]>;{A1,A2,A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3), (A0,A2)]>;{A1,A3,A0};{A1=1, A2=0.0, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2), (A3,A2)]>;{A1,A0};{A1=1, A2=0.0, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3), (A1,A0)]>;{A1,A2,A0};{A1=0.0, A2=1, A3=0.5, A0=1};{}
<{ A1, A0 },[]>;{A1,A0};{A1=1, A0=1};{A1,A0}
<{ A1, A2, A0 },[(A1,A2), (A1,A0)]>;{A1};{A1=1, A2=0.5, A0=0.5};{A1}
