AF;Ext;Ranking;Grounded
<{ A1, A2, A3, A0 },[(A1,A1), (A2,A2)]>;{A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A3,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=1, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A3)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A0), (A2,A3)]>;{A1,A3};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6180555555555555555555555555555556};{A1,A3}
<{ A1, A2, A0 },[(A1,A2)]>;{A1,A0};{A1=1, A2=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A1,A3)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A0)]>;{A1};{A1=1, A2=0.5, A3=0.5, A0=0.6180555555555555555555555555555556};{A1}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A1)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A1,A2)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A0)]>;{A1};{A1=1, A2=0.5, A3=0.6180257510729613733905579399141631, A0=0.6180257510729613733905579399141631};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A1)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A2,A3)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.6180555555555555555555555555555556, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A2)]>;{A1,A3,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.7500000000000000000000000000000000, A0=1};{A1,A3,A0}
<{ A1, A2, A0 },[(A1,A1)]>;{A2,A0};{A1=0.6180555555555555555555555555555556, A2=1, A0=1};{A2,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.25, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A3,A0)]>;{A3};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0)]>;{A3};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A1,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A0), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6666666666666666666666666666666667};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A1,A0)]>;{A1};{A1=1, A2=0.5, A3=0.5, A0=0.5};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3027718550106609808102345415778252, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A0)]>;{A1,A3};{A1=1, A2=0.5, A3=0.6666666666666666666666666666666667, A0=0.6000000000000000000000000000000000};{A1,A3}
