AF;Ext;Ranking;Grounded
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2)]>;{A3,A0};{A1=0.6180257510729613733905579399141631, A2=0.4772478360054888005124308835292080, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A2)]>;{A1,A0};{A1=1, A2=0.4142135731001354846655992117255820, A3=0.6180555555555555555555555555555556, A0=1};{A1,A0}
<{ A1, A2, A0 },[(A1,A1), (A1,A2)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.3660245183887915936952714535901926, A3=0.7320441988950276243093922651933701, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A2,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.5000108991825613079019073569482289, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A2)]>;{A1,A0};{A1=1, A2=0.4142259414225941422594142259414226, A3=0.5, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1)]>;{A2,A3,A0};{A1=0.4655617626703580843531289797873771, A2=0.6823178725614911278657787208368868, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A2,A3)]>;{A1,A3,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.7071005917159763313609467455621302, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.4, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A2)]>;{A3,A0};{A1=0.6180555555555555555555555555555556, A2=0.3819742489270386266094420600858369, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.4, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A0,A3)]>;{A1,A0};{A1=1, A2=0.5, A3=0.4142259414225941422594142259414226, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A3,A3), (A2,A2)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A3=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A0 },[(A1,A2), (A0,A0)]>;{A1};{A1=1, A2=0.5, A0=0.6180555555555555555555555555555556};{A1}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A1), (A3,A2)]>;{A3,A0};{A1=0.5, A2=0.3507839945163225087824522320281038, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A0,A2)]>;{A1,A0};{A1=1, A2=0.3333333333333333333333333333333333, A3=0.4285714285714285714285714285714286, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A1), (A0,A1), (A3,A0)]>;{A2,A3};{A1=0.4574146130566364029399048854301773, A2=0.6861219195849546044098573281452659, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A3,A0)]>;{A2,A3};{A1=0.4655617626703580843531289797873771, A2=0.6823178725614911278657787208368868, A3=1, A0=0.5};{A3}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A3,A0), (A3,A1)]>;{A2,A3};{A1=0.4142114384748700173310225303292894, A2=0.7071005917159763313609467455621302, A3=1, A0=0.5};{A2,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A1,A0)]>;{A1};{A1=1, A2=0.5, A3=0.5, A0=0.5};{A1,A3}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A2), (A0,A2), (A3,A2)]>;{A1,A3,A0};{A1=1, A2=0.2360676268002504696305572949279900, A3=1, A0=1};{A1,A3,A0}
<{ A1, A2, A3, A0 },[(A3,A3), (A1,A2), (A1,A3), (A2,A2)]>;{A1,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A2,A3), (A0,A3), (A3,A2)]>;{A1,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1};{A1,A0}
<{ A1, A2, A3, A0 },[(A1,A2), (A1,A3), (A2,A3), (A3,A2)]>;{A1,A0};{A1=1, A2=0.4142114384748700173310225303292894, A3=0.4142114384748700173310225303292894, A0=1};{A1,A0}
<{ A1, A2, A0 },[(A1,A2), (A2,A1)]>;{A0};{A1=0.6180257510729613733905579399141631, A2=0.6180257510729613733905579399141631, A0=1};{A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A1), (A2,A2)]>;{A3,A0};{A1=0.5000228885328450446326390478370336, A2=0.5000228885328450446326390478370336, A3=1, A0=1};{A3,A0}
<{ A1, A2, A3, A0 },[(A1,A1), (A1,A2), (A2,A2), (A3,A1)]>;{A3,A0};{A1=0.4142134998513232233125185845970859, A2=0.5176264993266194951688870425806557, A3=1, A0=1};{A3,A0}
